"iso3","year","lgb_score"
AZE,2016-01-01 00:00:00.000,5.217391304347825
AZE,2017-01-01 00:00:00.000,5.217391304347825
AZE,2018-01-01 00:00:00.000,4.4
AZE,2019-01-01 00:00:00.000,4.0
AZE,2020-01-01 00:00:00.000,3.225806451612903
AZE,2021-01-01 00:00:00.000,2.580645161290323
BDI,2012-01-01 00:00:00.000,3.913043478260869
BDI,2013-01-01 00:00:00.000,3.913043478260869
BDI,2014-01-01 00:00:00.000,3.913043478260869
BDI,2015-01-01 00:00:00.000,3.913043478260869
BDI,2016-01-01 00:00:00.000,3.913043478260869
BDI,2017-01-01 00:00:00.000,3.913043478260869
BDI,2018-01-01 00:00:00.000,3.5999999999999996
BDI,2019-01-01 00:00:00.000,3.5999999999999996
BDI,2020-01-01 00:00:00.000,2.903225806451613
BDI,2021-01-01 00:00:00.000,2.903225806451613
BEL,2012-01-01 00:00:00.000,9.565217391304348
BEL,2013-01-01 00:00:00.000,9.565217391304348
BEL,2014-01-01 00:00:00.000,9.565217391304348
BEL,2015-01-01 00:00:00.000,9.565217391304348
BEL,2016-01-01 00:00:00.000,9.565217391304348
BEL,2017-01-01 00:00:00.000,9.565217391304348
BEL,2018-01-01 00:00:00.000,9.6
BEL,2019-01-01 00:00:00.000,9.6
BEL,2020-01-01 00:00:00.000,8.387096774193548
BEL,2021-01-01 00:00:00.000,8.064516129032258
BEN,2012-01-01 00:00:00.000,6.08695652173913
BEN,2013-01-01 00:00:00.000,6.08695652173913
BEN,2014-01-01 00:00:00.000,6.08695652173913
BEN,2015-01-01 00:00:00.000,6.08695652173913
BEN,2016-01-01 00:00:00.000,6.08695652173913
BEN,2017-01-01 00:00:00.000,6.08695652173913
BEN,2018-01-01 00:00:00.000,6.0
BEN,2019-01-01 00:00:00.000,6.0
BEN,2020-01-01 00:00:00.000,4.838709677419355
BEN,2021-01-01 00:00:00.000,4.193548387096774
BFA,2012-01-01 00:00:00.000,4.782608695652174
BFA,2013-01-01 00:00:00.000,4.782608695652174
BFA,2014-01-01 00:00:00.000,4.782608695652174
BFA,2015-01-01 00:00:00.000,4.782608695652174
BFA,2016-01-01 00:00:00.000,4.782608695652174
BFA,2017-01-01 00:00:00.000,4.782608695652174
BFA,2018-01-01 00:00:00.000,4.8
BFA,2019-01-01 00:00:00.000,4.8
BFA,2020-01-01 00:00:00.000,3.870967741935484
BFA,2021-01-01 00:00:00.000,3.548387096774194
BGD,2012-01-01 00:00:00.000,3.478260869565217
BGD,2013-01-01 00:00:00.000,3.478260869565217
BGD,2014-01-01 00:00:00.000,3.478260869565217
BGD,2015-01-01 00:00:00.000,3.478260869565217
BGD,2016-01-01 00:00:00.000,3.478260869565217
BGD,2017-01-01 00:00:00.000,2.6086956521739126
BGD,2018-01-01 00:00:00.000,3.1999999999999997
BGD,2019-01-01 00:00:00.000,3.1999999999999997
BGD,2020-01-01 00:00:00.000,3.225806451612903
BGD,2021-01-01 00:00:00.000,3.2258064516129035
BGR,2012-01-01 00:00:00.000,6.521739130434782
BGR,2013-01-01 00:00:00.000,6.521739130434782
BGR,2014-01-01 00:00:00.000,6.521739130434782
BGR,2015-01-01 00:00:00.000,6.956521739130435
BGR,2016-01-01 00:00:00.000,6.08695652173913
BGR,2017-01-01 00:00:00.000,6.08695652173913
BGR,2018-01-01 00:00:00.000,6.0
BGR,2019-01-01 00:00:00.000,6.0
BGR,2020-01-01 00:00:00.000,4.838709677419355
BGR,2021-01-01 00:00:00.000,4.838709677419355
BHR,2012-01-01 00:00:00.000,3.043478260869565
BHR,2013-01-01 00:00:00.000,3.043478260869565
BHR,2014-01-01 00:00:00.000,3.043478260869565
BHR,2015-01-01 00:00:00.000,3.913043478260869
BHR,2016-01-01 00:00:00.000,3.913043478260869
BHR,2017-01-01 00:00:00.000,3.913043478260869
BHR,2018-01-01 00:00:00.000,3.5999999999999996
BHR,2019-01-01 00:00:00.000,3.5999999999999996
BHR,2020-01-01 00:00:00.000,3.225806451612903
BHR,2021-01-01 00:00:00.000,2.903225806451613
BHS,2012-01-01 00:00:00.000,3.478260869565217
BHS,2013-01-01 00:00:00.000,3.478260869565217
BHS,2014-01-01 00:00:00.000,3.478260869565217
BHS,2015-01-01 00:00:00.000,3.478260869565217
BHS,2016-01-01 00:00:00.000,3.478260869565217
BHS,2017-01-01 00:00:00.000,3.478260869565217
BHS,2018-01-01 00:00:00.000,4.0
BHS,2019-01-01 00:00:00.000,4.0
BHS,2020-01-01 00:00:00.000,3.225806451612903
BHS,2021-01-01 00:00:00.000,2.903225806451613
BIH,2012-01-01 00:00:00.000,6.08695652173913
BIH,2013-01-01 00:00:00.000,6.08695652173913
BIH,2014-01-01 00:00:00.000,6.08695652173913
BIH,2015-01-01 00:00:00.000,6.521739130434782
BIH,2016-01-01 00:00:00.000,6.521739130434782
