"iso3","year","gov_score"
AZE,2014-01-01 00:00:00.000,4.033790918690602
AZE,2015-01-01 00:00:00.000,3.8619201725997847
AZE,2016-01-01 00:00:00.000,3.963480128893664
AZE,2017-01-01 00:00:00.000,3.8681318681318673
AZE,2018-01-01 00:00:00.000,4.046306504961411
AZE,2019-01-01 00:00:00.000,4.08008658008658
AZE,2020-01-01 00:00:00.000,3.9453551912568314
AZE,2021-01-01 00:00:00.000,3.9453551912568314
BDI,2012-01-01 00:00:00.000,1.9081632653061225
BDI,2013-01-01 00:00:00.000,2.014314928425358
BDI,2014-01-01 00:00:00.000,2.3020063357972544
BDI,2015-01-01 00:00:00.000,1.3700107874865157
BDI,2016-01-01 00:00:00.000,1.0633727175080558
BDI,2017-01-01 00:00:00.000,0.934065934065934
BDI,2018-01-01 00:00:00.000,1.0804851157662625
BDI,2019-01-01 00:00:00.000,1.1363636363636362
BDI,2020-01-01 00:00:00.000,1.4098360655737705
BDI,2021-01-01 00:00:00.000,1.4098360655737705
BEL,2012-01-01 00:00:00.000,8.724489795918366
BEL,2013-01-01 00:00:00.000,8.752556237218814
BEL,2014-01-01 00:00:00.000,8.77507919746568
BEL,2015-01-01 00:00:00.000,8.651564185544768
BEL,2016-01-01 00:00:00.000,8.614393125671322
BEL,2017-01-01 00:00:00.000,8.494505494505495
BEL,2018-01-01 00:00:00.000,8.621830209481809
BEL,2019-01-01 00:00:00.000,8.67965367965368
BEL,2020-01-01 00:00:00.000,8.677595628415302
BEL,2021-01-01 00:00:00.000,8.677595628415302
BEN,2012-01-01 00:00:00.000,4.020408163265306
BEN,2013-01-01 00:00:00.000,4.028629856850715
BEN,2014-01-01 00:00:00.000,4.044350580781415
BEN,2015-01-01 00:00:00.000,4.045307443365696
BEN,2016-01-01 00:00:00.000,4.189044038668099
BEN,2017-01-01 00:00:00.000,4.153846153846152
BEN,2018-01-01 00:00:00.000,4.167585446527012
BEN,2019-01-01 00:00:00.000,4.06926406926407
BEN,2020-01-01 00:00:00.000,4.142076502732241
BEN,2021-01-01 00:00:00.000,4.142076502732241
BFA,2012-01-01 00:00:00.000,3.6020408163265305
BFA,2013-01-01 00:00:00.000,3.4355828220858897
BFA,2014-01-01 00:00:00.000,3.37909186906019
BFA,2015-01-01 00:00:00.000,3.6138079827400214
BFA,2016-01-01 00:00:00.000,3.7701396348012906
BFA,2017-01-01 00:00:00.000,3.8241758241758235
BFA,2018-01-01 00:00:00.000,3.7816979051819186
BFA,2019-01-01 00:00:00.000,3.5822510822510822
BFA,2020-01-01 00:00:00.000,3.573770491803279
BFA,2021-01-01 00:00:00.000,3.573770491803279
BGD,2012-01-01 00:00:00.000,2.7755102040816326
BGD,2013-01-01 00:00:00.000,2.6278118609406955
BGD,2014-01-01 00:00:00.000,3.062302006335797
