,iso3,year,soc_score
150,BGD,2012-01-01,6.086350974930362
151,BGD,2013-01-01,5.866141732283465
152,BGD,2014-01-01,6.005256241787123
153,BGD,2015-01-01,6.268068331143233
154,BGD,2016-01-01,6.162790697674421
155,BGD,2017-01-01,6.932114882506529
156,BGD,2018-01-01,6.719160104986877
157,BGD,2019-01-01,6.416430594900852
158,BGD,2020-01-01,6.770098730606487
159,BGD,2021-01-01,6.875816993464051
160,BGR,2012-01-01,6.894150417827298
161,BGR,2013-01-01,6.8241469816272975
162,BGR,2014-01-01,6.964520367936926
163,BGR,2015-01-01,7.161629434954008
164,BGR,2016-01-01,7.403100775193801
165,BGR,2017-01-01,7.584856396866842
166,BGR,2018-01-01,7.729658792650919
167,BGR,2019-01-01,7.76203966005666
168,BGR,2020-01-01,7.602256699576869
169,BGR,2021-01-01,7.633986928104575
170,BHR,2012-01-01,7.896935933147631
171,BHR,2013-01-01,7.664041994750656
172,BHR,2014-01-01,7.83180026281209
173,BHR,2015-01-01,7.660972404730618
174,BHR,2016-01-01,7.726098191214472
175,BHR,2017-01-01,7.754569190600524
176,BHR,2018-01-01,7.847769028871391
177,BHR,2019-01-01,7.549575070821531
178,BHR,2020-01-01,7.503526093088859
179,BHR,2021-01-01,7.803921568627452
180,BHS,2012-01-01,6.573816155988856
181,BHS,2013-01-01,6.299212598425198
182,BHS,2014-01-01,6.517739816031538
183,BHS,2015-01-01,6.636005256241788
184,BHS,2016-01-01,6.61498708010336
185,BHS,2017-01-01,6.801566579634466
186,BHS,2018-01-01,6.9160104986876645
187,BHS,2019-01-01,7.039660056657226
188,BHS,2020-01-01,7.291960507757405
189,BHS,2021-01-01,6.718954248366012
190,BIH,2012-01-01,4.958217270194986
191,BIH,2013-01-01,4.711286089238846
192,BIH,2014-01-01,4.717477003942182
193,BIH,2015-01-01,4.599211563731932
194,BIH,2016-01-01,4.793281653746771
195,BIH,2017-01-01,5.35248041775457
196,BIH,2018-01-01,5.669291338582677
197,BIH,2019-01-01,6.784702549575073
198,BIH,2020-01-01,6.88293370944993
199,BIH,2021-01-01,6.300653594771241
200,BLR,2012-01-01,7.534818941504177
201,BLR,2013-01-01,7.440944881889765
202,BLR,2014-01-01,7.503285151116952
203,BLR,2015-01-01,7.424441524310119
204,BLR,2016-01-01,7.545219638242894
205,BLR,2017-01-01,7.610966057441255
206,BLR,2018-01-01,7.834645669291338
207,BLR,2019-01-01,7.804532577903686
208,BLR,2020-01-01,7.757404795486601
209,BLR,2021-01-01,8.130718954248366
210,BLZ,2012-01-01,7.632311977715876
211,BLZ,2013-01-01,7.782152230971128
212,BLZ,2014-01-01,7.792378449408673
213,BLZ,2015-01-01,7.792378449408673
214,BLZ,2016-01-01,7.842377260981914
215,BLZ,2017-01-01,8.002610966057443
216,BLZ,2018-01-01,7.965879265091863
217,BLZ,2019-01-01,8.087818696883854
218,BLZ,2020-01-01,8.19464033850494
219,BLZ,2021-01-01,8.052287581699346
220,BOL,2012-01-01,5.891364902506963
221,BOL,2013-01-01,5.656167979002625
222,BOL,2014-01-01,5.80814717477004
223,BOL,2015-01-01,5.729303547963207
224,BOL,2016-01-01,5.723514211886306
225,BOL,2017-01-01,5.783289817232376
226,BOL,2018-01-01,5.958005249343832
227,BOL,2019-01-01,5.835694050991503
228,BOL,2020-01-01,5.853314527503527
229,BOL,2021-01-01,5.80392156862745
230,BRA,2012-01-01,7.5766016713091915
231,BRA,2013-01-01,7.585301837270341
232,BRA,2014-01-01,7.6215505913272015
233,BRA,2015-01-01,7.503285151116952
234,BRA,2016-01-01,7.183462532299744
235,BRA,2017-01-01,7.154046997389036
236,BRA,2018-01-01,7.191601049868766
237,BRA,2019-01-01,7.76203966005666
238,BRA,2020-01-01,7.827926657263753
239,BRA,2021-01-01,7.215686274509803
240,BRB,2012-01-01,7.66016713091922
241,BRB,2013-01-01,7.467191601049869
242,BRB,2014-01-01,7.6478318002628125
243,BRB,2015-01-01,7.923784494086727
244,BRB,2016-01-01,7.635658914728683
245,BRB,2017-01-01,7.571801566579635
246,BRB,2018-01-01,7.939632545931759
247,BRB,2019-01-01,7.74787535410765
248,BRB,2020-01-01,8.208744710860369
249,BRB,2021-01-01,7.895424836601306
250,BRN,2012-01-01,7.35376044568245
251,BRN,2013-01-01,7.230971128608925
252,BRN,2014-01-01,7.253613666228647
253,BRN,2015-01-01,7.174770039421814
254,BRN,2016-01-01,7.222222222222223
255,BRN,2017-01-01,7.140992167101828
256,BRN,2018-01-01,7.257217847769028
257,BRN,2019-01-01,7.56373937677054
258,BRN,2020-01-01,7.55994358251058
259,BRN,2021-01-01,7.450980392156863
260,BTN,2012-01-01,7.172701949860723
261,BTN,2013-01-01,6.902887139107612
262,BTN,2014-01-01,7.201051248357425
263,BTN,2015-01-01,8.134034165571615
264,BTN,2016-01-01,8.204134366925066
265,BTN,2017-01-01,8.04177545691906
266,BTN,2018-01-01,7.965879265091863
267,BTN,2019-01-01,7.592067988668557
268,BTN,2020-01-01,7.193229901269393
269,BTN,2021-01-01,7.38562091503268
270,BWA,2012-01-01,3.9136490250696365
271,BWA,2013-01-01,4.1732283464566935
272,BWA,2014-01-01,4.152431011826543
273,BWA,2015-01-01,4.16557161629435
274,BWA,2016-01-01,4.121447028423774
275,BWA,2017-01-01,4.699738903394257
276,BWA,2018-01-01,4.081364829396326
277,BWA,2019-01-01,5.254957507082155
278,BWA,2020-01-01,5.48660084626234
279,BWA,2021-01-01,4.326797385620916
280,CAF,2012-01-01,0.33426183844011126
281,CAF,2013-01-01,0.5774278215223099
282,CAF,2014-01-01,0.6176084099868597
283,CAF,2015-01-01,0.6701708278580818
284,CAF,2016-01-01,0.6847545219638249
285,CAF,2017-01-01,0.8485639686684072
286,CAF,2018-01-01,0.8923884514435696
287,CAF,2019-01-01,0.4674220963172808
288,CAF,2020-01-01,0.535966149506347
289,CAF,2021-01-01,0.9673202614379082
290,CAN,2012-01-01,7.284122562674094
291,CAN,2013-01-01,6.994750656167978
292,CAN,2014-01-01,7.082785808147175
293,CAN,2015-01-01,7.017082785808148
294,CAN,2016-01-01,7.002583979328167
295,CAN,2017-01-01,7.140992167101828
296,CAN,2018-01-01,7.322834645669292
297,CAN,2019-01-01,7.422096317280454
298,CAN,2020-01-01,7.3342736248236955
299,CAN,2021-01-01,7.267973856209149
300,CHE,2012-01-01,8.732590529247911
301,CHE,2013-01-01,8.622047244094489
302,CHE,2014-01-01,8.685939553219448
303,CHE,2015-01-01,8.62023653088042
304,CHE,2016-01-01,8.708010335917313
305,CHE,2017-01-01,8.733681462140995
306,CHE,2018-01-01,8.805774278215225
307,CHE,2019-01-01,8.852691218130314
308,CHE,2020-01-01,8.758815232722146
309,CHE,2021-01-01,8.732026143790849
310,CHL,2012-01-01,8.495821727019498
311,CHL,2013-01-01,8.569553805774278
312,CHL,2014-01-01,8.567674113009199
313,CHL,2015-01-01,8.515111695137977
314,CHL,2016-01-01,8.68217054263566
315,CHL,2017-01-01,8.681462140992167
316,CHL,2018-01-01,8.661417322834644
317,CHL,2019-01-01,8.88101983002833
318,CHL,2020-01-01,8.871650211565584
319,CHL,2021-01-01,8.588235294117647
320,CHN,2012-01-01,7.869080779944287
321,CHN,2013-01-01,7.742782152230971
322,CHN,2014-01-01,7.739816031537451
323,CHN,2015-01-01,7.6741130091984235
324,CHN,2016-01-01,7.751937984496125
325,CHN,2017-01-01,7.793733681462141
326,CHN,2018-01-01,7.834645669291338
327,CHN,2019-01-01,7.7903682719546765
328,CHN,2020-01-01,7.785613540197461
329,CHN,2021-01-01,7.8692810457516345
330,CIV,2012-01-01,3.5654596100278546
331,CIV,2013-01-01,4.383202099737534
332,CIV,2014-01-01,4.467805519053876
333,CIV,2015-01-01,4.507227332457294
334,CIV,2016-01-01,4.75452196382429
335,CIV,2017-01-01,4.516971279373369
336,CIV,2018-01-01,4.330708661417322
337,CIV,2019-01-01,3.8385269121813046
338,CIV,2020-01-01,3.681241184767279
339,CIV,2021-01-01,4.143790849673202
340,CMR,2012-01-01,3.5376044568245124
341,CMR,2013-01-01,3.6876640419947506
342,CMR,2014-01-01,3.6662286465177396
343,CMR,2015-01-01,3.7844940867279897
344,CMR,2016-01-01,3.8501291989664095
345,CMR,2017-01-01,4.1775456919060066
346,CMR,2018-01-01,4.291338582677166
347,CMR,2019-01-01,3.682719546742211
348,CMR,2020-01-01,3.751763046544429
349,CMR,2021-01-01,4.235294117647058
350,COD,2012-01-01,2.465181058495822
351,COD,2013-01-01,2.742782152230972
352,COD,2014-01-01,2.181340341655716
353,COD,2015-01-01,2.3784494086727994
354,COD,2016-01-01,2.7260981912144713
355,COD,2017-01-01,2.6762402088772856
356,COD,2018-01-01,2.6771653543307083
357,COD,2019-01-01,2.209631728045326
358,COD,2020-01-01,2.2143864598025393
359,COD,2021-01-01,2.65359477124183
360,COG,2012-01-01,2.2423398328690807
361,COG,2013-01-01,2.270341207349081
362,COG,2014-01-01,2.299605781865966
363,COG,2015-01-01,2.4047306176084104
364,COG,2016-01-01,2.790697674418605
365,COG,2017-01-01,3.2245430809399482
366,COG,2018-01-01,3.2020997375328086
367,COG,2019-01-01,4.135977337110483
368,COG,2020-01-01,4.51339915373766
369,COG,2021-01-01,3.5032679738562096
370,COL,2012-01-01,7.35376044568245
371,COL,2013-01-01,7.545931758530184
372,COL,2014-01-01,7.463863337713535
373,COL,2015-01-01,7.411300919842313
374,COL,2016-01-01,7.493540051679588
375,COL,2017-01-01,7.5456919060052225
376,COL,2018-01-01,7.335958005249343
377,COL,2019-01-01,7.7903682719546765
378,COL,2020-01-01,7.81382228490832
379,COL,2021-01-01,7.215686274509803
380,COM,2012-01-01,4.805013927576601
381,COM,2013-01-01,4.7506561679790025
382,COM,2014-01-01,5.019710906701707
383,COM,2015-01-01,4.572930354796322
384,COM,2016-01-01,4.664082687338503
385,COM,2017-01-01,4.712793733681464
386,COM,2018-01-01,4.803149606299213
387,COM,2019-01-01,4.900849858356942
388,COM,2020-01-01,5.007052186177716
389,COM,2021-01-01,4.954248366013072
390,CPV,2012-01-01,6.337047353760445
391,CPV,2013-01-01,6.377952755905513
392,CPV,2014-01-01,6.530880420499344
393,CPV,2015-01-01,6.557161629434955
394,CPV,2016-01-01,6.731266149870802
395,CPV,2017-01-01,6.631853785900784
396,CPV,2018-01-01,6.797900262467192
397,CPV,2019-01-01,7.152974504249293
398,CPV,2020-01-01,7.461212976022568
399,CPV,2021-01-01,6.6535947712418295
400,CRI,2012-01-01,8.467966573816154
401,CRI,2013-01-01,8.608923884514436
402,CRI,2014-01-01,8.59395532194481
403,CRI,2015-01-01,8.593955321944811
404,CRI,2016-01-01,8.669250645994834
405,CRI,2017-01-01,9.33420365535248
406,CRI,2018-01-01,8.792650918635172
407,CRI,2019-01-01,9.022662889518415
408,CRI,2020-01-01,8.815232722143865
409,CRI,2021-01-01,7.882352941176469
410,CUB,2012-01-01,7.311977715877436
411,CUB,2013-01-01,7.034120734908138
412,CUB,2014-01-01,7.174770039421814
413,CUB,2015-01-01,7.135348226018397
414,CUB,2016-01-01,7.19638242894057
415,CUB,2017-01-01,7.297650130548304
416,CUB,2018-01-01,7.440944881889764
417,CUB,2019-01-01,7.1954674220963195
418,CUB,2020-01-01,7.136812411847672
419,CUB,2021-01-01,7.398692810457515
420,CYP,2012-01-01,7.855153203342617
421,CYP,2013-01-01,7.440944881889765
422,CYP,2014-01-01,7.463863337713535
423,CYP,2015-01-01,7.542706964520368
424,CYP,2016-01-01,7.790697674418606
425,CYP,2017-01-01,7.950391644908617
426,CYP,2018-01-01,8.241469816272964
427,CYP,2019-01-01,8.583569405099151
428,CYP,2020-01-01,8.603667136812412
429,CYP,2021-01-01,8.535947712418299
430,CZE,2012-01-01,7.701949860724234
431,CZE,2013-01-01,7.559055118110237
432,CZE,2014-01-01,7.700394218134035
433,CZE,2015-01-01,8.134034165571615
434,CZE,2016-01-01,8.333333333333336
435,CZE,2017-01-01,8.054830287206268
436,CZE,2018-01-01,8.26771653543307
437,CZE,2019-01-01,8.087818696883854
438,CZE,2020-01-01,7.940761636107195
439,CZE,2021-01-01,8.143790849673202
440,DEU,2012-01-01,8.147632311977716
441,DEU,2013-01-01,8.005249343832022
442,DEU,2014-01-01,8.120893561103811
443,DEU,2015-01-01,8.055190538764784
444,DEU,2016-01-01,8.178294573643413
445,DEU,2017-01-01,8.237597911227155
446,DEU,2018-01-01,8.346456692913385
447,DEU,2019-01-01,8.300283286118983
448,DEU,2020-01-01,8.222849083215799
449,DEU,2021-01-01,8.352941176470589
450,DJI,2012-01-01,1.8941504178272979
451,DJI,2013-01-01,2.0209973753280845
452,DJI,2014-01-01,2.049934296977661
453,DJI,2015-01-01,2.089356110381078
454,DJI,2016-01-01,2.5064599483204137
455,DJI,2017-01-01,2.7284595300261105
456,DJI,2018-01-01,2.821522309711286
457,DJI,2019-01-01,4.291784702549576
458,DJI,2020-01-01,4.541607898448519
459,DJI,2021-01-01,3.1895424836601305
460,DMA,2012-01-01,2.646239554317548
461,DMA,2013-01-01,2.8871391076115485
462,DMA,2014-01-01,2.9566360052562426
463,DMA,2015-01-01,2.9172141918528265
464,DMA,2016-01-01,3.2170542635658927
465,DMA,2017-01-01,2.885117493472585
466,DMA,2018-01-01,2.7952755905511815
467,DMA,2019-01-01,1.9688385269121822
468,DMA,2020-01-01,2.101551480959098
469,DMA,2021-01-01,2.7320261437908493
470,DNK,2012-01-01,7.994428969359332
471,DNK,2013-01-01,8.202099737532809
472,DNK,2014-01-01,8.160315374507228
473,DNK,2015-01-01,8.21287779237845
474,DNK,2016-01-01,8.333333333333336
475,DNK,2017-01-01,8.43342036553525
476,DNK,2018-01-01,8.517060367454068
477,DNK,2019-01-01,8.61189801699717
478,DNK,2020-01-01,8.603667136812412
479,DNK,2021-01-01,8.627450980392156
480,DOM,2012-01-01,7.200557103064066
481,DOM,2013-01-01,8.044619422572179
482,DOM,2014-01-01,6.872536136662287
483,DOM,2015-01-01,7.634691195795007
484,DOM,2016-01-01,7.622739018087858
485,DOM,2017-01-01,7.80678851174935
486,DOM,2018-01-01,7.716535433070866
487,DOM,2019-01-01,7.7195467422096335
488,DOM,2020-01-01,7.517630465444289
489,DOM,2021-01-01,7.22875816993464
490,DZA,2012-01-01,7.172701949860723
491,DZA,2013-01-01,7.283464566929135
492,DZA,2014-01-01,7.2404730617608415
493,DZA,2015-01-01,7.122207621550592
494,DZA,2016-01-01,7.248062015503878
495,DZA,2017-01-01,7.375979112271542
496,DZA,2018-01-01,7.073490813648294
497,DZA,2019-01-01,7.521246458923516
498,DZA,2020-01-01,7.757404795486601
499,DZA,2021-01-01,7.254901960784313
500,ECU,2012-01-01,7.646239554317548
501,ECU,2013-01-01,7.598425196850394
502,ECU,2014-01-01,7.687253613666229
503,ECU,2015-01-01,7.700394218134035
504,ECU,2016-01-01,7.635658914728683
505,ECU,2017-01-01,7.728459530026111
506,ECU,2018-01-01,7.795275590551181
507,ECU,2019-01-01,7.6628895184136
508,ECU,2020-01-01,7.6163610719323005
509,ECU,2021-01-01,7.5816993464052285
510,EGY,2012-01-01,5.543175487465179
511,EGY,2013-01-01,5.2493438320209975
512,EGY,2014-01-01,5.295663600525623
513,EGY,2015-01-01,5.216819973718792
514,EGY,2016-01-01,5.29715762273902
515,EGY,2017-01-01,5.430809399477807
516,EGY,2018-01-01,5.73490813648294
517,EGY,2019-01-01,6.090651558073656
518,EGY,2020-01-01,6.107193229901269
519,EGY,2021-01-01,5.9869281045751634
520,ERI,2012-01-01,3.481894150417827
521,ERI,2013-01-01,3.4120734908136487
522,ERI,2014-01-01,3.495400788436268
523,ERI,2015-01-01,3.482260183968463
524,ERI,2016-01-01,3.540051679586564
525,ERI,2017-01-01,3.6292428198433426
526,ERI,2018-01-01,3.7532808398950133
527,ERI,2019-01-01,3.6260623229461766
528,ERI,2020-01-01,3.6671368124118473
529,ERI,2021-01-01,3.816993464052287
530,ESP,2012-01-01,6.392757660167129
531,ESP,2013-01-01,6.167979002624673
532,ESP,2014-01-01,6.320630749014455
533,ESP,2015-01-01,6.465177398160316
534,ESP,2016-01-01,6.770025839793282
535,ESP,2017-01-01,7.062663185378591
536,ESP,2018-01-01,7.309711286089239
537,ESP,2019-01-01,8.229461756373938
538,ESP,2020-01-01,8.152327221438647
539,ESP,2021-01-01,7.516339869281046
540,EST,2012-01-01,7.465181058495821
541,EST,2013-01-01,7.6115485564304475
542,EST,2014-01-01,7.792378449408673
543,EST,2015-01-01,7.871222076215506
544,EST,2016-01-01,7.868217054263567
545,EST,2017-01-01,7.989556135770236
546,EST,2018-01-01,8.1496062992126
547,EST,2019-01-01,8.24362606232295
548,EST,2020-01-01,8.180535966149506
549,EST,2021-01-01,8.117647058823529
550,ETH,2012-01-01,5.208913649025069
551,ETH,2013-01-01,5.459317585301838
552,ETH,2014-01-01,5.269382391590014
553,ETH,2015-01-01,5.479632063074902
554,ETH,2016-01-01,5.568475452196384
555,ETH,2017-01-01,5.91383812010444
556,ETH,2018-01-01,5.669291338582677
557,ETH,2019-01-01,5.311614730878189
558,ETH,2020-01-01,5.41607898448519
559,ETH,2021-01-01,5.738562091503267
560,FIN,2012-01-01,8.1058495821727
561,FIN,2013-01-01,7.952755905511811
562,FIN,2014-01-01,7.923784494086728
563,FIN,2015-01-01,7.83180026281209
564,FIN,2016-01-01,7.906976744186048
565,FIN,2017-01-01,7.924281984334206
566,FIN,2018-01-01,8.11023622047244
567,FIN,2019-01-01,8.371104815864026
568,FIN,2020-01-01,8.37799717912553
569,FIN,2021-01-01,8.209150326797383
570,FJI,2012-01-01,7.158774373259051
571,FJI,2013-01-01,6.797900262467191
572,FJI,2014-01-01,7.122207621550592
573,FJI,2015-01-01,7.082785808147175
574,FJI,2016-01-01,6.925064599483205
575,FJI,2017-01-01,7.023498694516972
576,FJI,2018-01-01,6.929133858267716
577,FJI,2019-01-01,6.89801699716714
578,FJI,2020-01-01,6.82651622002821
579,FJI,2021-01-01,6.797385620915032
580,FRA,2012-01-01,7.785515320334261
581,FRA,2013-01-01,7.585301837270341
582,FRA,2014-01-01,7.608409986859396
583,FRA,2015-01-01,7.516425755584757
584,FRA,2016-01-01,7.596899224806203
585,FRA,2017-01-01,7.689295039164492
586,FRA,2018-01-01,7.808398950131234
587,FRA,2019-01-01,8.186968838526914
588,FRA,2020-01-01,8.152327221438647
589,FRA,2021-01-01,7.973856209150327
590,FSM,2012-01-01,4.164345403899722
591,FSM,2013-01-01,4.593175853018373
592,FSM,2014-01-01,4.625492772667542
593,FSM,2015-01-01,4.651773981603154
594,FSM,2016-01-01,4.7416020671834636
595,FSM,2017-01-01,4.530026109660575
596,FSM,2018-01-01,4.383202099737533
597,FSM,2019-01-01,3.7677053824362616
598,FSM,2020-01-01,3.7799717912552886
599,FSM,2021-01-01,4.470588235294118
600,GAB,2012-01-01,4.178272980501392
601,GAB,2013-01-01,3.8057742782152237
602,GAB,2014-01-01,4.060446780551906
603,GAB,2015-01-01,3.66622864651774
604,GAB,2016-01-01,4.056847545219639
605,GAB,2017-01-01,4.556135770234988
606,GAB,2018-01-01,4.540682414698162
607,GAB,2019-01-01,5.609065155807368
608,GAB,2020-01-01,5.881523272214387
609,GAB,2021-01-01,4.862745098039216
610,GBR,2012-01-01,8.050139275766016
611,GBR,2013-01-01,7.9921259842519685
612,GBR,2014-01-01,8.226018396846255
613,GBR,2015-01-01,8.23915900131406
614,GBR,2016-01-01,8.346253229974161
615,GBR,2017-01-01,8.43342036553525
616,GBR,2018-01-01,8.477690288713912
617,GBR,2019-01-01,8.441926345609067
618,GBR,2020-01-01,8.37799717912553
619,GBR,2021-01-01,8.431372549019608
620,GEO,2012-01-01,5.696378830083564
621,GEO,2013-01-01,5.695538057742782
622,GEO,2014-01-01,6.031537450722734
623,GEO,2015-01-01,6.202365308804206
624,GEO,2016-01-01,6.36950904392765
625,GEO,2017-01-01,6.671018276762403
626,GEO,2018-01-01,6.83727034120735
627,GEO,2019-01-01,7.37960339943343
628,GEO,2020-01-01,7.306064880112834
629,GEO,2021-01-01,7.071895424836601
630,GHA,2012-01-01,6.295264623955431
631,GHA,2013-01-01,5.669291338582678
632,GHA,2014-01-01,5.80814717477004
633,GHA,2015-01-01,5.939553219448095
634,GHA,2016-01-01,6.098191214470285
635,GHA,2017-01-01,6.0313315926892965
636,GHA,2018-01-01,5.918635170603674
637,GHA,2019-01-01,5.779036827195469
638,GHA,2020-01-01,5.867418899858957
639,GHA,2021-01-01,6.091503267973856
640,GIN,2012-01-01,2.089136490250696
641,GIN,2013-01-01,2.834645669291339
642,GIN,2014-01-01,2.6412614980289093
643,GIN,2015-01-01,2.641261498028909
644,GIN,2016-01-01,3.0490956072351434
645,GIN,2017-01-01,2.8328981723237603
646,GIN,2018-01-01,3.2020997375328086
647,GIN,2019-01-01,2.5070821529745047
648,GIN,2020-01-01,2.5811001410437235
649,GIN,2021-01-01,2.888888888888889
650,GMB,2012-01-01,3.7325905292479105
651,GMB,2013-01-01,3.5826771653543306
652,GMB,2014-01-01,3.7450722733245727
653,GMB,2015-01-01,3.7056504599211566
654,GMB,2016-01-01,3.746770025839795
655,GMB,2017-01-01,3.785900783289818
656,GMB,2018-01-01,3.9632545931758534
657,GMB,2019-01-01,4.107648725212465
658,GMB,2020-01-01,4.174894217207335
659,GMB,2021-01-01,4.052287581699346
660,GNB,2012-01-01,2.0612813370473537
