Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1228.52972307118,1264.39641685936,1345.37010338796,1420.65317860019,1358.21791178905,1361.96321727996,1394.85985605113,1415.31720554163,1416.38835637768,1374.94955936037,1465.39607429896
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,7517.32635951737,7988.69047257311,8541.2324733025,8812.26181554647,8213.12337286025,8183.3270469779,9021.96592686379,9839.46860049612,9979.25411184343,9706.84310332981,11465.857770559
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10220.497892665,10217.2776964379,10357.1656138957,10451.5252662143,8645.27095252049,8363.6585703583,9201.46648036571,8916.08948524633,8707.18736820255,7289.95703684922,8327.60519038265
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,9847.59920897527,9686.90535966314,9834.53012990858,9775.56734787074,8223.39454971266,7909.62822168351,8729.1830627764,8384.84537253501,8181.62274744186,6789.39264970385,7728.03330913836
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,10157.7080256739,10144.3445788974,10280.4237194411,10369.9180463986,8497.45594058406,8199.16861798615,9050.94346805003,8754.29326776484,8526.26578328322,7081.44704554668,8108.91586994813
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,921.727110860739,945.173417987178,1005.61358250837,1055.489277272,997.132283890389,1021.78781099426,1114.92308410884,1073.3209737358,1100.0270461345,1095.77064832518,1164.91831596213
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4134.04331727443,4339.26652653684,4532.41989309618,4626.39321149143,4329.30502802987,4313.15265410579,4679.99324511284,4900.57367580845,4952.23113305647,4723.79886732848,5494.39698101105
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,737.921592084596,731.578004322583,771.117054465343,800.582832009898,775.673373499387,791.811382162639,863.625895527001,758.744710996629,750.555530326794,736.93221698126,793.945722043348
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2047.90086460913,2115.53858674075,2118.63843116732,2176.23675069423,2088.22078732738,2169.41972344764,2297.94945643957,2323.93174161165,2386.48858914775,2268.98274570582,2572.70514396668
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8260.51047816933,8759.65128829081,8433.60304850834,8321.76576980599,7183.07451286568,7111.1562407106,7251.82773594856,7476.77245727289,7337.35093485927,6491.49912763085,7569.08943696131
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,4653.5943879069,4929.64160910528,4445.60064830945,4317.81309556394,3805.68400915465,3832.81850898167,3739.15308820695,3491.19257785723,3438.71589914992,3093.87847282169,3573.16517336392
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,4673.49608515259,4950.68166347424,4458.42772459745,4328.80720330803,3811.77767170547,3836.31969011268,3740.51998552308,3490.36720402876,3436.13153002932,3092.20555999448,3572.06552524474
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,4478.8140696518,4716.35907508888,4934.97944222966,5040.8028003844,4720.1503964477,4709.36804167241,5116.24078342878,5384.00215669902,5448.65078025163,5206.16829542532,6074.0849211156
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,50289.0244037158,51881.1708863839,53234.150098465,54714.4709286191,55452.4213839576,56312.4348848537,58423.8858786865,61174.7773442449,63198.7013177896,61451.9761542648,68369.6627865258
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,37510.4689031111,37238.6273555564,37492.0293932166,38000.9430879342,35599.0800395663,36049.378510069,37403.3878726541,39348.3143589819,39531.6603463651,38326.8576017416,42446.8593225577
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,14656.7516002022,14983.3650641167,15301.1620473154,15443.8933803058,12502.0953801451,12087.1223886966,12894.0758276533,14062.5039847728,13540.4002873269,11683.1860582817,13878.8148434096
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3324.79654277336,3482.42371396297,3584.58282227053,3853.59513746425,3724.5916743202,3867.74169899034,4128.47492262869,4283.74156632459,4233.4136752437,3707.31058055127,3643.84543691992
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,42530.4301945737,42286.9172434272,42520.7968500268,43165.5514844553,40638.3758095101,41369.9337219357,42968.4478075775,45382.3069254991,45700.938132739,44474.5497503182,49223.5950344334
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1615.10635563388,1703.42984591239,1813.79619346271,1870.79868539774,1550.79861230615,1385.87403657936,1436.42070384297,1455.85975716881,1463.30658635794,1337.46415333973,1418.59332595843
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,13023.122324438,13379.8099524495,13662.8737452669,13836.880534668,11585.6451509215,11163.9732961148,11854.0160327081,12808.1908837461,12427.5767384523,10702.9616881658,12588.9277948417
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1351.99156959375,1347.91809454193,1364.83100978075,1475.72702877642,1523.69780745339,1675.57551077353,1887.92183047546,1920.20839576082,1962.80287524759,1852.30008753936,2149.8215950035
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1351.99156959375,1347.91809454193,1364.83100978075,1475.72702877642,1523.69780745339,1675.57551077353,1887.92183047546,1920.20839576082,1962.80287524759,1852.30008753936,2149.8215950035
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1818.17245281026,1837.55754544941,1900.19419418299,1931.64803190105,1675.48657482565,1524.8277496739,1609.900105108,1631.593697431,1607.92160468242,1493.10069058974,1633.18075389896
