"iso3","year","soc_score"
AZE,2015-01-01 00:00:00.000,6.609724047306177
AZE,2016-01-01 00:00:00.000,6.744186046511629
AZE,2017-01-01 00:00:00.000,6.671018276762403
AZE,2018-01-01 00:00:00.000,6.824146981627297
AZE,2019-01-01 00:00:00.000,6.8413597733711065
AZE,2020-01-01 00:00:00.000,7.023977433004233
AZE,2021-01-01 00:00:00.000,7.111111111111111
BDI,2012-01-01 00:00:00.000,3.036211699164345
BDI,2013-01-01 00:00:00.000,3.4645669291338583
BDI,2014-01-01 00:00:00.000,4.099868593955321
BDI,2015-01-01 00:00:00.000,4.5203679369250995
BDI,2016-01-01 00:00:00.000,4.005167958656332
BDI,2017-01-01 00:00:00.000,3.9033942558746744
BDI,2018-01-01 00:00:00.000,3.805774278215223
BDI,2019-01-01 00:00:00.000,3.1728045325779046
BDI,2020-01-01 00:00:00.000,3.187588152327222
BDI,2021-01-01 00:00:00.000,3.816993464052287
BEL,2012-01-01 00:00:00.000,7.994428969359332
BEL,2013-01-01 00:00:00.000,7.8083989501312345
BEL,2014-01-01 00:00:00.000,7.871222076215506
BEL,2015-01-01 00:00:00.000,7.805519053876479
BEL,2016-01-01 00:00:00.000,7.9586563307493545
BEL,2017-01-01 00:00:00.000,8.067885117493475
BEL,2018-01-01 00:00:00.000,8.228346456692915
BEL,2019-01-01 00:00:00.000,8.385269121813034
BEL,2020-01-01 00:00:00.000,8.265162200282088
BEL,2021-01-01 00:00:00.000,8.183006535947712
BEN,2012-01-01 00:00:00.000,4.178272980501392
BEN,2013-01-01 00:00:00.000,4.21259842519685
BEN,2014-01-01 00:00:00.000,4.152431011826543
BEN,2015-01-01 00:00:00.000,3.587385019710908
BEN,2016-01-01 00:00:00.000,3.9664082687338515
BEN,2017-01-01 00:00:00.000,3.9556135770234992
BEN,2018-01-01 00:00:00.000,3.845144356955381
BEN,2019-01-01 00:00:00.000,3.21529745042493
BEN,2020-01-01 00:00:00.000,3.2299012693935127
BEN,2021-01-01 00:00:00.000,3.869281045751633
BFA,2012-01-01 00:00:00.000,2.3955431754874645
BFA,2013-01-01 00:00:00.000,2.729658792650919
BFA,2014-01-01 00:00:00.000,3.1274638633377143
BFA,2015-01-01 00:00:00.000,2.930354796320631
BFA,2016-01-01 00:00:00.000,3.152454780361758
BFA,2017-01-01 00:00:00.000,3.276762402088773
BFA,2018-01-01 00:00:00.000,3.215223097112861
BFA,2019-01-01 00:00:00.000,2.8895184135977336
BFA,2020-01-01 00:00:00.000,2.9478138222849086
BFA,2021-01-01 00:00:00.000,3.385620915032679
BGD,2012-01-01 00:00:00.000,6.086350974930362
BGD,2013-01-01 00:00:00.000,5.866141732283465
BGD,2014-01-01 00:00:00.000,6.005256241787123
BGD,2015-01-01 00:00:00.000,6.268068331143233
BGD,2016-01-01 00:00:00.000,6.162790697674421
BGD,2017-01-01 00:00:00.000,6.932114882506529
BGD,2018-01-01 00:00:00.000,6.719160104986877
BGD,2019-01-01 00:00:00.000,6.416430594900852
BGD,2020-01-01 00:00:00.000,6.770098730606487
BGD,2021-01-01 00:00:00.000,6.875816993464051
