"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
ARG,2020-01-01 00:00:00.000,3.0,1660.0,68.0,357.0,1.0,2.0,2.0,2090.0,
ARG,2021-01-01 00:00:00.000,3.0,218.0,3.0,76.0,1.0,2.0,2.0,297.0,
ARM,2012-01-01 00:00:00.000,2.0,129.0,30.0,606.0,50.0,,148.0,963.0,
ARM,2013-01-01 00:00:00.000,2.0,147.0,31.0,702.0,52.0,,151.0,1084.0,
ARM,2014-01-01 00:00:00.000,2.0,157.0,28.0,812.0,56.0,,150.0,1204.0,
ARM,2015-01-01 00:00:00.000,2.0,89.0,10.0,922.0,21.0,,148.0,1192.0,
ARM,2016-01-01 00:00:00.000,2.0,90.0,19.0,938.0,19.0,,193.0,1260.0,
ARM,2017-01-01 00:00:00.000,2.0,102.0,39.0,1096.0,30.0,,228.0,1495.0,
ARM,2018-01-01 00:00:00.000,2.0,102.0,50.0,1269.0,37.0,,192.0,1652.0,
ARM,2019-01-01 00:00:00.000,1.0,76.0,64.0,1516.0,37.0,,200.0,1894.0,
ARM,2020-01-01 00:00:00.000,1.0,9.0,9.0,325.0,4.0,,28.0,375.0,
ARM,2021-01-01 00:00:00.000,1.0,35.0,6.0,702.0,16.0,,111.0,870.0,
AUS,2012-01-01 00:00:00.000,82.0,683.0,3650.0,1346.0,63.0,,209.0,6032.0,
AUS,2013-01-01 00:00:00.000,81.0,751.0,3893.0,1457.0,71.0,,229.0,6482.0,
AUS,2014-01-01 00:00:00.000,84.0,806.0,4204.0,1489.0,78.0,,261.0,6922.0,
AUS,2015-01-01 00:00:00.000,85.0,870.0,4585.0,1521.0,81.0,,309.0,7449.0,
AUS,2016-01-01 00:00:00.000,87.0,994.0,5156.0,1596.0,85.0,,351.0,8269.0,
AUS,2017-01-01 00:00:00.000,90.0,1096.0,5487.0,1644.0,88.0,,411.0,8815.0,
AUS,2018-01-01 00:00:00.000,95.0,1139.0,5752.0,1690.0,85.0,,485.0,9246.0,
AUS,2019-01-01 00:00:00.000,95.0,1173.0,5898.0,1679.0,83.0,,538.0,9466.0,
AUS,2020-01-01 00:00:00.000,18.0,283.0,954.0,442.0,17.0,,114.0,1828.0,
AUS,2021-01-01 00:00:00.000,2.0,22.0,154.0,45.0,5.0,,20.0,246.0,
AUT,2012-01-01 00:00:00.000,58.0,806.0,1105.0,21599.0,218.0,276.0,89.0,24151.0,
AUT,2013-01-01 00:00:00.000,61.0,860.0,1227.0,22043.0,268.0,265.0,88.0,24813.0,
AUT,2014-01-01 00:00:00.000,63.0,919.0,1381.0,22242.0,303.0,300.0,84.0,25291.0,
AUT,2015-01-01 00:00:00.000,72.0,1020.0,1740.0,23051.0,419.0,307.0,118.0,26728.0,
AUT,2016-01-01 00:00:00.000,78.0,1013.0,1733.0,24427.0,382.0,341.0,147.0,28121.0,
AUT,2017-01-01 00:00:00.000,77.0,1085.0,2047.0,25362.0,384.0,328.0,178.0,29460.0,
