"iso3","year","env_score"
AZE,2014-01-01 00:00:00.000,3.345656192236599
AZE,2015-01-01 00:00:00.000,3.3454545454545452
AZE,2016-01-01 00:00:00.000,3.209219858156029
AZE,2017-01-01 00:00:00.000,3.1197301854974704
AZE,2018-01-01 00:00:00.000,3.102866779089376
AZE,2019-01-01 00:00:00.000,3.1144781144781146
AZE,2020-01-01 00:00:00.000,3.1355932203389827
AZE,2021-01-01 00:00:00.000,3.1355932203389827
BDI,2012-01-01 00:00:00.000,0.0568181818181821
BDI,2013-01-01 00:00:00.000,0.1325757575757578
BDI,2014-01-01 00:00:00.000,0.0
BDI,2015-01-01 00:00:00.000,0.0
BDI,2016-01-01 00:00:00.000,0.0
BDI,2017-01-01 00:00:00.000,0.0
BDI,2018-01-01 00:00:00.000,0.0
BDI,2019-01-01 00:00:00.000,0.0
BDI,2020-01-01 00:00:00.000,0.0
BDI,2021-01-01 00:00:00.000,0.0
BEL,2012-01-01 00:00:00.000,7.291666666666665
BEL,2013-01-01 00:00:00.000,7.443181818181818
BEL,2014-01-01 00:00:00.000,7.523105360443622
BEL,2015-01-01 00:00:00.000,7.490909090909092
BEL,2016-01-01 00:00:00.000,7.251773049645391
BEL,2017-01-01 00:00:00.000,6.964586846543002
BEL,2018-01-01 00:00:00.000,7.048903878583474
BEL,2019-01-01 00:00:00.000,7.138047138047138
BEL,2020-01-01 00:00:00.000,7.152542372881357
BEL,2021-01-01 00:00:00.000,7.152542372881357
BEN,2012-01-01 00:00:00.000,0.1325757575757578
BEN,2013-01-01 00:00:00.000,0.3409090909090913
BEN,2014-01-01 00:00:00.000,0.7208872458410349
BEN,2015-01-01 00:00:00.000,1.1999999999999997
BEN,2016-01-01 00:00:00.000,1.4007092198581566
BEN,2017-01-01 00:00:00.000,1.3490725126475545
BEN,2018-01-01 00:00:00.000,1.4502529510961215
BEN,2019-01-01 00:00:00.000,1.4646464646464645
BEN,2020-01-01 00:00:00.000,1.4745762711864407
BEN,2021-01-01 00:00:00.000,1.4745762711864407
BFA,2012-01-01 00:00:00.000,0.41666666666666696
BFA,2013-01-01 00:00:00.000,0.7575757575757578
BFA,2014-01-01 00:00:00.000,1.1460258780036963
BFA,2015-01-01 00:00:00.000,1.4909090909090912
BFA,2016-01-01 00:00:00.000,1.755319148936171
BFA,2017-01-01 00:00:00.000,1.8212478920741992
BFA,2018-01-01 00:00:00.000,1.8212478920741992
BFA,2019-01-01 00:00:00.000,1.8350168350168352
BFA,2020-01-01 00:00:00.000,1.8305084745762712
BFA,2021-01-01 00:00:00.000,1.8305084745762712
BGD,2012-01-01 00:00:00.000,1.193181818181818
BGD,2013-01-01 00:00:00.000,1.3257575757575757
BGD,2014-01-01 00:00:00.000,1.4787430683918665
BGD,2015-01-01 00:00:00.000,1.5454545454545454
BGD,2016-01-01 00:00:00.000,1.5957446808510638
BGD,2017-01-01 00:00:00.000,1.618887015177066
BGD,2018-01-01 00:00:00.000,1.618887015177066
BGD,2019-01-01 00:00:00.000,1.6329966329966332
BGD,2020-01-01 00:00:00.000,1.6271186440677963
BGD,2021-01-01 00:00:00.000,1.6271186440677963
BGR,2012-01-01 00:00:00.000,6.382575757575757
BGR,2013-01-01 00:00:00.000,6.647727272727272
BGR,2014-01-01 00:00:00.000,6.857670979667282
BGR,2015-01-01 00:00:00.000,6.854545454545454
BGR,2016-01-01 00:00:00.000,6.70212765957447
BGR,2017-01-01 00:00:00.000,6.256323777403036
BGR,2018-01-01 00:00:00.000,6.391231028667791
BGR,2019-01-01 00:00:00.000,6.380471380471382
BGR,2020-01-01 00:00:00.000,6.389830508474577
BGR,2021-01-01 00:00:00.000,6.389830508474577
BHR,2012-01-01 00:00:00.000,7.481060606060606
BHR,2013-01-01 00:00:00.000,7.670454545454545
BHR,2014-01-01 00:00:00.000,7.818853974121995
BHR,2015-01-01 00:00:00.000,8.10909090909091
BHR,2016-01-01 00:00:00.000,8.404255319148938
BHR,2017-01-01 00:00:00.000,8.279932546374368
BHR,2018-01-01 00:00:00.000,8.279932546374368
BHR,2019-01-01 00:00:00.000,8.282828282828284
BHR,2020-01-01 00:00:00.000,8.33898305084746
BHR,2021-01-01 00:00:00.000,8.33898305084746
BHS,2012-01-01 00:00:00.000,2.9734848484848486
BHS,2013-01-01 00:00:00.000,3.0113636363636367
BHS,2014-01-01 00:00:00.000,2.8835489833641406
BHS,2015-01-01 00:00:00.000,2.945454545454545
BHS,2016-01-01 00:00:00.000,2.9432624113475185
BHS,2017-01-01 00:00:00.000,2.8499156829679597
BHS,2018-01-01 00:00:00.000,2.8499156829679597
BHS,2019-01-01 00:00:00.000,2.861952861952862
BHS,2020-01-01 00:00:00.000,2.8644067796610164
BHS,2021-01-01 00:00:00.000,2.8644067796610164
BIH,2012-01-01 00:00:00.000,3.7310606060606064
BIH,2013-01-01 00:00:00.000,4.204545454545454
BIH,2014-01-01 00:00:00.000,4.306839186691312
BIH,2015-01-01 00:00:00.000,4.49090909090909
BIH,2016-01-01 00:00:00.000,4.556737588652483
BIH,2017-01-01 00:00:00.000,4.367622259696459
BIH,2018-01-01 00:00:00.000,4.569983136593592
BIH,2019-01-01 00:00:00.000,4.57912457912458
BIH,2020-01-01 00:00:00.000,4.593220338983051
BIH,2021-01-01 00:00:00.000,4.593220338983051
BLR,2012-01-01 00:00:00.000,5.984848484848485
BLR,2013-01-01 00:00:00.000,6.136363636363637
BLR,2014-01-01 00:00:00.000,6.118299445471348
BLR,2015-01-01 00:00:00.000,6.218181818181819
BLR,2016-01-01 00:00:00.000,6.187943262411349
BLR,2017-01-01 00:00:00.000,6.003372681281618
BLR,2018-01-01 00:00:00.000,5.986509274873525
BLR,2019-01-01 00:00:00.000,5.95959595959596
BLR,2020-01-01 00:00:00.000,5.983050847457627
BLR,2021-01-01 00:00:00.000,5.983050847457627
BLZ,2012-01-01 00:00:00.000,2.0265151515151514
BLZ,2013-01-01 00:00:00.000,2.253787878787879
BLZ,2014-01-01 00:00:00.000,2.5138632162661736
BLZ,2015-01-01 00:00:00.000,2.6545454545454548
BLZ,2016-01-01 00:00:00.000,2.6950354609929086
BLZ,2017-01-01 00:00:00.000,2.5969645868465427
BLZ,2018-01-01 00:00:00.000,2.5969645868465427
BLZ,2019-01-01 00:00:00.000,2.6094276094276094
BLZ,2020-01-01 00:00:00.000,2.6271186440677967
BLZ,2021-01-01 00:00:00.000,2.6271186440677967
BOL,2012-01-01 00:00:00.000,4.9810606060606055
BOL,2013-01-01 00:00:00.000,5.037878787878788
BOL,2014-01-01 00:00:00.000,5.157116451016635
BOL,2015-01-01 00:00:00.000,5.236363636363636
BOL,2016-01-01 00:00:00.000,4.9822695035460995
