"iso3","year","gdp"
MYS,2011-01-01 00:00:00.000,10209.3819536909
MDV,2011-01-01 00:00:00.000,7409.33596846724
MLI,2011-01-01 00:00:00.000,810.182600735989
MLT,2011-01-01 00:00:00.000,23155.5628148844
MHL,2011-01-01 00:00:00.000,3238.88731570104
MRT,2011-01-01 00:00:00.000,1919.45452401163
MUS,2011-01-01 00:00:00.000,9197.02697152061
MEX,2011-01-01 00:00:00.000,10341.5210484975
FSM,2011-01-01 00:00:00.000,2885.44124871393
MDA,2011-01-01 00:00:00.000,2941.36211882435
MCO,2011-01-01 00:00:00.000,179372.76368395
MNG,2011-01-01 00:00:00.000,3793.74375416147
MNE,2011-01-01 00:00:00.000,7328.93225247529
MAR,2011-01-01 00:00:00.000,3041.14575195313
MOZ,2011-01-01 00:00:00.000,605.273468552994
MMR,2011-01-01 00:00:00.000,1086.83846738793
NAM,2011-01-01 00:00:00.000,5873.0794942491
NRU,2011-01-01 00:00:00.000,6423.74867940431
NPL,2011-01-01 00:00:00.000,791.225217045595
NLD,2011-01-01 00:00:00.000,54230.3129029852
NZL,2011-01-01 00:00:00.000,38387.6270784076
NIC,2011-01-01 00:00:00.000,1644.79935412236
NER,2011-01-01 00:00:00.000,507.602523308191
NGA,2011-01-01 00:00:00.000,2504.87827884434
MKD,2011-01-01 00:00:00.000,5098.09758250193
NOR,2011-01-01 00:00:00.000,100600.562407589
OMN,2011-01-01 00:00:00.000,24166.0963053624
PAK,2011-01-01 00:00:00.000,1075.45049647803
PLW,2011-01-01 00:00:00.000,10795.5646929825
PAN,2011-01-01 00:00:00.000,9403.43990821634
PNG,2011-01-01 00:00:00.000,2303.79746130093
PRY,2011-01-01 00:00:00.000,5776.2818479967
PER,2011-01-01 00:00:00.000,5826.83230656078
PHL,2011-01-01 00:00:00.000,2431.20203745534
POL,2011-01-01 00:00:00.000,13776.6115521996
PRT,2011-01-01 00:00:00.000,23217.2954965207
QAT,2011-01-01 00:00:00.000,92992.9971307452
ROU,2011-01-01 00:00:00.000,9560.18451265292
RUS,2011-01-01 00:00:00.000,14311.083984375
RWA,2011-01-01 00:00:00.000,650.602628610861
WSM,2011-01-01 00:00:00.000,3789.66667899642
SMR,2011-01-01 00:00:00.000,55816.3651012268
STP,2011-01-01 00:00:00.000,1244.27162469378
SAU,2011-01-01 00:00:00.000,22262.6136629624
SEN,2011-01-01 00:00:00.000,1383.53919282968
SRB,2011-01-01 00:00:00.000,6809.15980400146
SYC,2011-01-01 00:00:00.000,12189.0951601357
SLE,2011-01-01 00:00:00.000,445.005362066105
SGP,2011-01-01 00:00:00.000,53890.4287270504
SVK,2011-01-01 00:00:00.000,18509.7402157541
