,iso3,year,gov_score
0,AFG,2012-01-01,1.2244897959183674
1,AFG,2013-01-01,1.1349693251533741
2,AFG,2014-01-01,1.2777191129883843
3,AFG,2015-01-01,1.0787486515641858
4,AFG,2016-01-01,1.0418904403866813
5,AFG,2017-01-01,0.9120879120879118
6,AFG,2018-01-01,1.0584343991179714
7,AFG,2019-01-01,1.1688311688311688
8,AFG,2020-01-01,0.9945355191256833
9,AFG,2021-01-01,0.9945355191256833
10,AGO,2012-01-01,2.5816326530612246
11,AGO,2013-01-01,2.597137014314929
12,AGO,2014-01-01,2.734952481520591
13,AGO,2015-01-01,2.5242718446601944
14,AGO,2016-01-01,2.642320085929109
15,AGO,2017-01-01,2.582417582417582
16,AGO,2018-01-01,3.0429988974641677
17,AGO,2019-01-01,3.246753246753247
18,AGO,2020-01-01,3.3333333333333335
19,AGO,2021-01-01,3.3333333333333335
20,ALB,2012-01-01,4.775510204081633
21,ALB,2013-01-01,4.918200408997955
22,ALB,2014-01-01,5.385427666314678
23,ALB,2015-01-01,5.285868392664509
24,ALB,2016-01-01,5.402792696025779
25,ALB,2017-01-01,5.373626373626372
26,ALB,2018-01-01,5.490628445424477
27,ALB,2019-01-01,5.3896103896103895
28,ALB,2020-01-01,5.420765027322405
29,ALB,2021-01-01,5.420765027322405
30,AND,2012-01-01,8.816326530612244
31,AND,2013-01-01,8.78323108384458
32,AND,2014-01-01,8.880675818373811
33,AND,2015-01-01,8.878101402373249
34,AND,2016-01-01,8.925886143931258
35,AND,2017-01-01,8.967032967032965
36,AND,2018-01-01,9.007717750826904
37,AND,2019-01-01,9.112554112554111
38,AND,2020-01-01,9.158469945355192
39,AND,2021-01-01,9.158469945355192
40,ARE,2012-01-01,6.948979591836735
41,ARE,2013-01-01,7.065439672801636
42,ARE,2014-01-01,7.043294614572334
43,ARE,2015-01-01,6.828478964401295
44,ARE,2016-01-01,6.906552094522021
45,ARE,2017-01-01,6.9120879120879115
46,ARE,2018-01-01,7.144432194046308
47,ARE,2019-01-01,7.132034632034631
48,ARE,2020-01-01,7.081967213114755
49,ARE,2021-01-01,7.081967213114755
