id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed and breakfast in Quebec · ★4.91 · 1 bedroom · 2 beds · 1 private bath,675584,Mary,,Sillery,46.76843,-71.26636,Private room,185,2,175,2022-09-05,1.21,3,282,14,
198548,Rental unit in Quebec · ★4.75 · 1 bedroom · 1 bed · 1 bath,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,150,31,56,2023-03-25,0.40,1,98,3,
214967,Townhouse in Quebec · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,83,32,197,2023-04-15,1.51,1,364,22,
348647,Bed and breakfast in Quebec · ★4.74 · 1 bedroom · 1 bed · Private half-bath,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81505,-71.20587,Private room,196,2,173,2023-02-13,1.27,1,62,14,
496101,Bungalow in Québec · 3 bedrooms · 1 bed · 1 bath,2450362,Rabia,,Pointe-de-Sainte-Foy,46.76336,-71.3205,Entire home/apt,100,32,0,,,3,0,0,
588889,Home in Ville de Québec · ★4.71 · 4 bedrooms · 5 beds · 1.5 baths,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,350,7,7,2022-07-23,0.09,2,1,1,312924
661569,Bed and breakfast in Quebec · ★4.98 · 1 bedroom · 1 bed · 1 bath,675584,Mary,,Sillery,46.76978,-71.26591,Hotel room,185,2,91,2022-08-14,0.76,3,242,12,181101
760018,Condo in Quebec · ★4.74 · 2 bedrooms · 2 beds · 1 bath,4005779,Marie-Christine,,Vieux-Limoilou,46.82868,-71.22634,Entire home/apt,100,45,84,2022-06-04,0.66,1,29,1,
878309,Rental unit in Quebec · ★4.60 · 2 bedrooms · 2 beds · 1 bath,4598359,Agnes,,Sillery,46.78341,-71.25123,Entire home/apt,75,32,30,2022-01-06,0.25,2,197,0,
878904,Rental unit in Quebec · ★4.78 · 1 bedroom · 2 beds · 1 bath,4598359,Agnes,,Sillery,46.7817,-71.25042,Entire home/apt,45,32,20,2022-08-31,0.17,2,318,1,
997400,Guest suite in Quebec · ★4.54 · 2 bedrooms · 2 beds · 1 bath,5480680,Adriana,,Chutes-Montmorency,46.88356,-71.17293,Entire home/apt,63,1,575,2023-04-20,4.71,1,55,67,308160
1001559,Serviced apartment in Québec · ★4.93 · 2 bedrooms · 2 beds · 1 bath,5508181,Simon,,Saint-Jean-Baptiste,46.80631,-71.22715,Entire home/apt,192,2,29,2023-01-01,0.50,1,101,10,302754
1240632,Home in Quebec · ★4.09 · 1 bedroom · 1 bed · 1 shared bath,6212858,Katia,,Duberger-Les Saules,46.80802,-71.33486,Private room,18,31,11,2023-01-11,0.11,5,190,2,
1486117,Nature lodge in Quebec · ★4.40 · 1 bedroom · 2 beds · 1 shared bath,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81528,-71.20141,Private room,160,2,172,2023-04-10,1.45,7,32,20,197621
1486498,Nature lodge in Quebec · ★4.64 · 1 bedroom · 1 bed · 1 private bath,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81271,-71.20454,Private room,180,2,214,2023-04-26,1.88,7,24,19,197621
1486966,Nature lodge in Quebec · ★4.60 · 1 bedroom · 2 beds · 1 shared bath,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81294,-71.20367,Private room,160,2,168,2022-08-01,1.42,7,28,2,197621
1487080,Boutique hotel in Quebec · ★4.49 · 1 bedroom · 1 bed · 1 private bath,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81398,-71.203,Private room,160,2,153,2023-04-16,1.30,7,29,6,197621
1487383,Aparthotel in Quebec · ★4.75 · 1 bedroom · 3 beds · 1 bath,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81076,-71.2064,Entire home/apt,350,2,260,2023-04-15,2.19,7,40,27,197621
1516068,Rental unit in Sillery · ★4.96 · 1 bedroom · 1 bed · 1 private bath,6137330,André,,Sillery,46.78447,-71.25825,Private room,21,32,25,2023-04-07,0.23,3,149,4,
1577452,Bed and breakfast in Québec · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,8384168,Irina,,Sillery,46.78385692043639,-71.24780408465574,Private room,39,1,12,2023-01-27,1.35,2,27,12,
