id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7381,Chalet Chocolat in medieval alpine village,19480,Paula,Aigle,Ormont-Dessus,46.35476,7.13333,Entire home/apt,83,3,55,2022-11-02,0.42,1,314,7,
26809,Rental unit in Pully · ★4.90 · 1 bedroom · 1 bed · 1 private bath,94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,71,2,117,2017-01-22,0.75,1,0,0,
50123,Not Available any longer,229512,Christopher,Nyon,Mont-sur-Rolle,46.4754,6.32883,Private room,805,4,0,,,1,365,0,
129558,Rental unit in Lausanne · 1 bedroom · 1 bed · 1 bath,638930,Carol,Lausanne,Lausanne,46.53873,6.62034,Private room,78,7,0,,,1,365,0,
259823,"Spacious, quiet, downtown, near lake & transports",1363446,David,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45231,6.86073,Entire home/apt,360,2,14,2019-08-04,0.20,1,0,0,
268195,"Chalet Balthazar 4 - Central Villars, Great Views",1405645,David,Aigle,Ollon,46.29621,7.05534,Entire home/apt,330,7,16,2022-09-13,0.20,5,215,3,
282240,Wonderful LOFT PRIVAT in citycenter,1471038,Mike,Lausanne,Lausanne,46.52142,6.63811,Entire home/apt,179,3,17,2021-01-03,0.13,1,355,0,
347194,Castle in the hill. Stunning view 1,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47443,6.80248,Hotel room,254,1,74,2023-02-28,0.56,3,1,5,
361490,Castle in the hill. Stunning view 2,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47372055053711,6.801305770874023,Entire home/apt,220,1,81,2023-02-28,0.60,3,294,13,
3523349,Modern Family House near Lausanne,7947310,Pavla,Lausanne,Epalinges,46.5624,6.66466,Entire home/apt,190,7,3,2015-08-02,0.03,1,0,0,
441365,Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,1,26,2022-12-03,0.23,16,292,2,
3564631,Farm stay in Vugelles-La Mothe · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,12539797,Florence,Jura-Nord vaudois,Vugelles-La Mothe,46.81891,6.56558,Private room,83,1,4,2021-08-09,0.04,4,313,0,
1501736,Nice modern family house close to shops and slopes,8024039,Sophie,Aigle,Roche (Vaud),46.35903,6.92909,Entire home/apt,100,3,0,,,1,0,0,
465603,Rental unit in Rennaz · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.91791,Private room,39,2,260,2023-05-05,1.95,1,252,33,
1516660,Chalet pieds dans l'eau lac de Joux,8065483,Alexandre,Jura-Nord vaudois,Le Lieu,46.63105,6.26291,Entire home/apt,346,2,77,2021-10-15,0.82,1,0,0,
1519749,Perle de Lavaux with outstanding Lake Léman views,8111735,Jean & Beatrix,Lavaux-Oron,Bourg-en-Lavaux,46.49967,6.73638,Entire home/apt,170,3,39,2023-05-01,0.33,1,298,6,
3570844,Meeting Air14 PAYERNE,17979226,Serge,Broye-Vully,Payerne,46.81575,6.94111,Entire home/apt,764,1,0,,,1,0,0,
481748,Duplex! Center of Vevey. Character!,2386200,Milica,Riviera-Pays-d'Enhaut,Vevey,46.46643,6.84233,Entire home/apt,201,7,0,,,1,178,0,
3584687,Appartement 3 pièces pour 4(6) pers,18058174,Roland,Aigle,Gryon,46.274555,7.065786,Entire home/apt,45,3,48,2023-03-04,0.55,2,149,11,
1544283,Charming apartment with parking,8229982,Valeh,Ouest lausannois,Prilly,46.53664,6.60644,Entire home/apt,118,2,92,2023-04-17,0.92,1,261,14,
484112,Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.61594,Entire home/apt,88,4,18,2022-12-20,0.14,1,0,1,
3639774,Studio with terrace on the Lake,16676730,Hans-Jürg,Riviera-Pays-d'Enhaut,Vevey,46.45811,6.84717,Entire home/apt,150,2,221,2023-05-02,2.08,2,258,39,
563402,Heidi Chalet Alps - Unique Experience - Authentic,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.46662,7.06847,Entire home/apt,229,2,178,2023-02-25,1.36,26,1,8,
1553553,Rental unit in Lausanne · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,6862236,Aïcha,Lausanne,Lausanne,46.52398,6.6244,Private room,65,2,104,2023-04-23,0.88,1,0,13,
1558799,Nice flat close to the lake,944870,Veronika,Lausanne,Lausanne,46.51613,6.61257,Entire home/apt,65,3,22,2020-09-27,0.26,1,0,0,
580402,Rental unit in Lausanne · ★4.68 · 1 bedroom · 1 bed · 1.5 shared baths,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,40,1,59,2022-10-26,0.51,16,1,8,
592411,Villa in Grandvaux · 1 bedroom · 1 bed · 1 private bath,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49783,6.72497,Private room,60,15,2,2014-10-06,0.02,10,0,0,
1664994,Joli studio refait à neuf plein cœur de Lausanne,8819357,Gregory,Lausanne,Lausanne,46.52639,6.62004,Entire home/apt,99,3,58,2023-05-01,0.62,1,33,15,
3684056,"CLEAN, QUIET AND BRIGHT APARTEMENT NEAR THE LAKE",9148081,Lea,Lausanne,Lausanne,46.50881,6.62448,Entire home/apt,116,7,79,2023-03-01,0.92,1,135,9,
605354,Bed and breakfast in Cully · ★4.80 · 2 bedrooms · 4 beds · 2 shared baths,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.4876,6.72908,Private room,90,1,161,2023-05-04,1.24,2,353,25,
3758124,Grande Maison au Porte de Lausanne,1773021,Lesfringues,Gros-de-Vaud,Assens,46.61478,6.62583,Entire home/apt,180,30,1,2017-10-08,0.01,2,0,0,
614885,Villa in Grandvaux · ★4.0 · 1 bedroom · 1 bed · 1 private bath,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49911,6.72652,Private room,50,30,4,2022-10-15,0.03,10,298,1,
1730957,"Cosy flat, recently renovated, 15 min from Gstaad",9048020,Cecilia,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47693,7.14354,Entire home/apt,250,2,21,2022-05-19,0.18,1,1,1,
614923,Villa in Grandvaux · 1 bedroom · 1 bed · 1 private bath,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49947,6.72486,Private room,80,30,1,2016-05-01,0.01,10,89,0,
3798768,Cozy studio in Lausanne downtown,18725113,Róger,Lausanne,Lausanne,46.52471,6.62591,Entire home/apt,68,4,19,2019-08-30,0.18,1,0,0,
630291,Bed and breakfast in Cully · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.48823,6.73054,Private room,90,1,204,2023-05-07,1.66,2,361,22,
3814927,Rental unit in Nyon · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,19615625,Genevieve,Nyon,Eysins,46.38037,6.21283,Private room,38,2,4,2019-07-12,0.08,1,0,0,
734992,house with a view,3834042,Caroline,Riviera-Pays-d'Enhaut,Montreux,46.43298,6.93701,Entire home/apt,84,3,0,,,1,0,0,
3876432,Farm stay in Vugelles-La Mothe · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,12539797,Florence,Jura-Nord vaudois,Vugelles-La Mothe,46.81842,6.56473,Private room,71,1,15,2022-09-30,0.14,4,349,1,
806451,Home in Montreux · ★4.84 · 1 bedroom · 1 bed · 1 private bath,6842190,Anne,Riviera-Pays-d'Enhaut,Montreux,46.4279,6.92836,Private room,170,2,197,2022-09-22,1.62,1,257,16,
