id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21134,Cozy Room in the urban centre of Riga,80446,Ieva And Florian Daniel,,Avoti,56.95263,24.13218,Private room,10,90,74,2021-10-31,0.52,1,178,0,
120480,Magic of Riga History,606352,Kristine,,VecpilsÄta,56.95167,24.10543,Entire home/apt,51,2,517,2023-03-26,3.61,1,261,66,
253753,Quiet Center Apartment,1332828,Jānis,,Centrs,56.95795,24.10529,Entire home/apt,58,28,124,2020-11-20,0.89,1,0,0,
260539,RigaCenter apartment,1297653,Aiva,,Centrs,56.95601,24.13536,Entire home/apt,80,7,40,2023-01-14,0.34,2,127,5,
275688,Stylish apartment in Old Riga heart,1441076,Marianna,,VecpilsÄta,56.94754,24.11351,Entire home/apt,53,3,15,2022-05-23,0.13,6,43,1,
298935,Cozy apartment w beautiful view to Daugava river,1540565,Egons,,Ä¶engarags,56.91443,24.16724,Entire home/apt,45,2,2,2023-01-04,0.31,1,168,2,
353581,Large 1-bedroom apt. in Old Riga,1441076,Marianna,,VecpilsÄta,56.94667,24.11297,Entire home/apt,64,3,7,2018-09-23,0.06,6,52,0,
355961,Large apartment in Old Riga heart,1441076,Marianna,,VecpilsÄta,56.94611,24.11405,Entire home/apt,83,3,8,2022-08-01,0.07,6,61,1,
356730,Charming studio apartment in a central location,604220,Jurgis,,Centrs,56.96045,24.13475,Entire home/apt,34,3,122,2023-03-26,0.94,1,65,23,
363262,Mansard apartment in Old Riga heart,1441076,Marianna,,VecpilsÄta,56.94628,24.11187,Entire home/apt,56,3,17,2022-07-13,0.14,6,60,2,
424498,Center apartment near the park.,1929477,Nina,,Centrs,56.95858,24.14026,Entire home/apt,88,2,39,2022-06-29,0.32,3,58,1,
429062,Modern design apartment in center of Riga,2054298,Ilona,,Centrs,56.95641,24.12503,Entire home/apt,77,2,85,2022-12-04,0.65,1,341,5,
433373,Kalku apartment,2153755,Jelena,,VecpilsÄta,56.94823,24.1079,Entire home/apt,96,2,26,2022-12-05,0.20,2,0,1,
445853,Riga Brivibas-LUX apartment,1929477,Nina,,Centrs,56.96063,24.13184,Entire home/apt,68,2,141,2023-02-17,1.08,3,228,14,
446612,Cozy apartment in excellent place,2218232,"Liga, Toms",,TorÅakalns,56.94061,24.09335,Entire home/apt,40,2,201,2020-01-06,1.52,1,0,0,
514952,Angel  Apartment  in the heart of Old  Riga,2534039,Anjela,,VecpilsÄta,56.9484,24.10655,Entire home/apt,37,2,243,2023-03-26,1.90,7,287,43,
569469,Sunny flat in the center of Riga,1441076,Marianna,,Avoti,56.95077,24.1336,Entire home/apt,78,3,9,2022-04-05,0.07,6,45,1,
580504,Sunlit Loft apartment Riga center,2856485,Aigars,,Avoti,56.95442,24.13559,Entire home/apt,45,1,341,2023-02-19,2.62,1,219,29,
674037,Guest rooms Modus,3386023,Anna,,Avoti,56.95502,24.13479,Private room,25,2,204,2023-01-23,1.90,1,359,22,
680697,NICE APARTMENT NEAR THE  PARK,1929477,Nina,,Centrs,56.95845,24.13975,Entire home/apt,61,2,20,2021-09-26,0.17,3,0,0,
707268,Приятных сноведений,3635378,Larisa,,Sarkandaugava,56.99906,24.12356,Private room,28,1,4,2022-09-11,0.08,1,364,2,
