id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103875,Design house-city centre-private parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07453,4.31669,Entire home/apt,125,4,20,2021-11-12,0.15,3,0,0,0518B3A6F34367DC62EA
378711,ruime studio w.private kitchen/bath near beach.,1902132,Karen,Wijk 03 Westbroekpark en Duttendel,Duttendel,52.10822,4.30535,Private room,120,3,22,2022-07-29,0.46,2,305,2,0518 8B36 A437 A071 6DE3
450807,Zen in the City Privat Cosy XL APP,2238496,Saskia,Wijk 26 Bezuidenhout,Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,114,7,126,2020-08-29,0.96,1,180,0,0518 2B37 5D9E E68B 7E90
492615,Cute Room in  Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,40,2,334,2023-03-24,2.55,2,144,34,05188F255B48V7D7EF83
523633,Amazing Apartment on 39th floor 771,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07223,4.32396,Entire home/apt,196,1,394,2023-03-14,3.01,20,344,11,Exempt
628445,Amazing Apartment on 39th floor 773,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07027,4.32552,Entire home/apt,198,1,258,2023-03-18,2.01,20,332,13,Exempt
635931,Amazing Apartment on 39th floor 772,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07081,4.32496,Entire home/apt,181,1,142,2023-02-07,1.10,20,350,7,Exempt
635974,Amazing Apartment on 39th floor 774,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,223,1,220,2023-01-26,1.73,20,346,14,Exempt
641820,"B&B The Hague, Own floor, Shared front door",3206829,Coco,Wijk 04 Benoordenhout,Duinzigt,52.10297,4.32047,Entire home/apt,72,2,255,2023-03-13,2.15,1,225,20,0518 39C4 1D10 992B 8F94
730922,Second Cute Room Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,38,2,251,2023-03-20,2.11,2,162,46,0518 8F25 5B48 C7D7 EF83
774806,Very QUIET apartment between city centre & beach,4069743,James,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.07722,4.28061,Entire home/apt,150,3,62,2022-10-16,0.58,3,219,10,0518 746B 667E 1E1A F580
800960,Amazing Apartment on 38th floor 767,300966,Elwin,Wijk 27 Stationsbuurt,Rivierenbuurt-Zuid,52.07244,4.32545,Entire home/apt,204,1,178,2022-06-28,1.43,20,354,2,Exempt
819029,TOP Apartment | City Centre-Private Parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07425,4.31658,Entire home/apt,107,5,48,2023-03-07,0.42,3,213,9,0518 FFC0 E3D5 3FC5 005F
