id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28418,114.15431,Entire home/apt,1059,3,290,2023-03-19,2.02,10,307,11,
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,0.46,1,0,0,
72571,SoHo off Hollywood Road 3A,304876,Brend,,Central & Western,22.28463,114.15054,Entire home/apt,369,28,151,2022-03-11,1.03,10,0,0,
524265,Modern Designer Flat near Central,1443229,Alice,,Central & Western,22.28361,114.13168,Entire home/apt,886,2,37,2023-02-20,0.32,4,344,2,
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,330,1,113,2019-11-10,0.89,46,365,0,
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.276,114.1736,Entire home/apt,1000,1125,19,2013-08-31,0.15,1,0,0,
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2391,1,14,2012-02-06,0.10,1,365,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,266,1,150,2023-03-10,1.17,5,12,3,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,280,3,37,2020-01-09,0.29,5,0,0,
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,338,1,25,2019-06-14,0.28,46,365,0,
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,338,1,169,2023-03-12,1.30,46,365,6,
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,,Central & Western,22.28921,114.14325,Entire home/apt,1097,5,229,2023-03-22,1.61,10,308,20,
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,338,1,29,2023-03-02,0.22,46,365,1,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,337,28,10,2022-03-28,0.08,4,142,1,
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28494,114.14901,Entire home/apt,620,2,225,2021-02-16,1.60,10,52,0,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2017-10-08,0.14,4,270,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,1917,1,14,2022-04-17,0.15,3,29,1,
