id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,671,3,73,2023-03-11,0.61,1,304,10,
473856,Explore Cape Town from a Cosy Apartment in a Prime Location,2349400,Katrin,,Ward 115,-33.92636,18.41459,Entire home/apt,1657,1,169,2023-03-07,1.30,4,317,9,
1048451,Beautiful Beach Flat,5589045,Shereeze,,Ward 107,-33.82312,18.47778,Entire home/apt,1341,3,1,2014-01-04,0.01,1,365,0,
15007,Blaauwberg House (now with inverter),59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,3827,2,42,2023-01-10,0.37,3,330,6,
1049588,Afribode's Atlantic View Terrace,5509428,Afribode,,Ward 115,-33.91879,18.4229,Hotel room,2300,1,22,2023-03-05,0.19,19,144,4,
1049807,Afribode's Rockefeller Suite,5509428,Afribode,,Ward 115,-33.91525,18.41952,Hotel room,1900,2,14,2022-07-31,0.13,19,0,4,
1049961,Afribode's Adenium Beachfront,5509428,Afribode,,Ward 115,-33.90026,18.4045,Entire home/apt,1800,1,20,2023-03-15,0.19,19,114,14,
15077,Top relaxed beach living in style,59342,Georg,,Ward 4,-33.858356,18.490376,Private room,2280,5,7,2022-06-16,0.06,6,245,2,
1058642,Private Residence Camps Bay Beach,5807357,Michaeljon,,Ward 54,-33.9514,18.38436,Entire home/apt,1956,2,227,2023-03-27,2.56,1,80,34,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
474596,5 bedroom holiday home to rent in Cape Town,2352753,Cindy,,Ward 58,-33.96919,18.4882,Entire home/apt,8000,7,3,2023-02-18,0.05,1,104,1,
15285,Waterford-Guinea Fowl Self Catering,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,1714,2,11,2022-01-17,0.08,3,104,0,
487261,Tamboerskloof Quaint Garden Studio,914135,Cape Standard,,Ward 77,-33.92748,18.40151,Private room,750,2,6,2021-11-11,0.05,1,0,0,
1075794,Fabulous 1-Bedroom De Waterkant Apt. WiFi included,1852795,Jenny,,Ward 115,-33.91549,18.41952,Entire home/apt,1300,5,41,2022-08-01,0.35,3,29,3,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.82924,18.63144,Entire home/apt,650,3,0,,,1,364,0,
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,690,30,23,2022-08-24,0.15,1,28,2,
1081311,Double room available in Cape Town,5947217,Renate,,Ward 4,-33.86704,18.50602,Private room,394,5,110,2023-02-26,1.09,1,359,10,
498170,En-suite With Separate Entrance in Green Point,2459900,Odette,,Ward 115,-33.90783,18.4044,Private room,622,30,197,2022-12-20,1.50,2,333,3,
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,29811,4,2,2023-03-01,0.03,7,314,1,
1101917,Maximise Outdoor Living at a Tranquil Garden Hideaway,2789205,Martin,,Ward 62,-34.00644,18.42661,Entire home/apt,5232,5,92,2023-03-03,0.81,2,193,17,
