id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1591,Garden Suite-King-Ensuite,1748,Jeff,Victoria,Rockland,48.42128,-123.33932,Private room,169,1,5,2022-05-23,0.27,8,328,2,
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,279,2,0,,,1,0,0,
41168,"Burma Suite, Ocean Island Garden Suites",173169,Ocean Island Garden Suites,Victoria,James Bay,48.41333,-123.37065,Entire home/apt,166,1,60,2023-03-09,0.51,4,86,17,
54423,"Perfect Downtown Condo, free secure onsite Parking",254653,Pawlina And Martin,Victoria,Downtown,48.42151,-123.36383,Entire home/apt,93,45,71,2023-02-24,0.75,1,0,5,
83515,GALLERY B&B SUITE,455118,Celia,Salt Spring Island,Salt Spring Island,48.86282,-123.49976,Entire home/apt,151,2,103,2023-03-16,0.71,2,268,32,
116831,Harbor View Studio in Restored Heritage Building,590251,Agi & Marco,Victoria,Downtown,48.42852,-123.36961,Entire home/apt,101,1,529,2023-03-25,7.03,1,349,74,
168460,PERFECTLY LOCATED lovely new home,802981,Deborah,Victoria,James Bay,48.41838,-123.36726,Entire home/apt,204,90,65,2018-08-26,0.50,1,358,0,
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50617,-123.46399,Private room,199,1,52,2019-09-22,0.37,3,88,0,
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,130,30,156,2023-03-16,1.15,1,68,5,
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50467,-123.4625,Private room,69,1,52,2020-02-22,0.40,3,88,0,
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50644,-123.46423,Private room,139,1,12,2019-07-26,0.13,3,88,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,132,3,406,2023-03-13,3.22,2,0,19,
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42882,-123.35055,Entire home/apt,130,28,258,2023-03-11,1.85,2,365,5,
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42684,-123.35082,Entire home/apt,275,28,8,2018-07-09,0.08,2,364,0,
306192,Private Oceanfront Cottage,1574682,Norm & Pam,Sooke,Sooke,48.38375,-123.70692,Entire home/apt,215,5,89,2022-09-08,0.67,1,260,15,
330706,Sunset Suite Downtown W/Parking,21376528,Lesley And Orion,Victoria,Downtown,48.42749,-123.36361,Entire home/apt,209,1,310,2023-03-19,5.37,14,192,77,
348606,Enjoy Pacific sunsets on the bay,1757713,Valerie,Victoria,Gonzales,48.40891,-123.33573,Entire home/apt,150,30,86,2022-12-31,0.73,1,250,4,
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.4317,-123.32508,Private room,110,30,126,2022-09-14,0.95,2,365,1,
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41107,-123.37675,Entire home/apt,100,30,21,2023-01-02,0.22,19,274,4,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,Martin,Victoria,James Bay,48.41263,-123.37702,Entire home/apt,86,30,30,2022-10-31,0.23,19,93,5,
408315,"Longstay Sidney waterfront home, EaglesnestSidney",2032438,A,Sidney,Sidney,48.66178,-123.40366,Entire home/apt,330,7,20,2022-09-17,0.19,1,247,1,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42611,-123.34047,Entire home/apt,76,30,25,2022-07-31,0.19,19,274,2,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,Martin,Victoria,Rockland,48.4249,-123.33928,Entire home/apt,76,30,20,2023-01-31,0.15,19,268,4,
416786,Renovated Townhouse Near Downtown,2001974,Martin,Victoria,Fernwood,48.42641,-123.34648,Entire home/apt,113,30,23,2022-06-28,0.17,19,93,2,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43183,-123.32669,Private room,120,30,92,2022-07-31,0.71,2,365,2,
455929,"Victoria Garden Estate, pool/hotub/farm stay",2266499,Anna,North Saanich,North Saanich,48.67278,-123.46604,Entire home/apt,1300,30,28,2022-12-26,0.40,1,300,10,
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42416,-123.34062,Entire home/apt,76,30,26,2022-05-30,0.20,19,242,1,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Fernwood,48.42598,-123.33982,Entire home/apt,113,30,35,2022-10-03,0.27,19,222,1,
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292,-123.37774,Entire home/apt,76,28,23,2022-10-22,0.18,19,272,1,
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.9273,-123.57431,Private room,230,2,31,2022-08-14,0.30,1,330,1,
479450,"Beautiful, bright, Oaklands 8, great walks plus",2375062,John,Victoria,Oaklands,48.43936,-123.34842,Entire home/apt,170,30,66,2022-10-30,0.56,6,356,3,
499085,May 1 2023 Monthly Rental or longer,2463230,Jacqueline,Victoria,Fernwood,48.42703,-123.34751,Entire home/apt,140,30,49,2021-05-01,0.52,1,57,0,
514811,Waterfront Walks & Welcome Foodies,393956,Rhona,Saanich,Saanich,48.45215,-123.41781,Entire home/apt,87,2,231,2022-10-20,1.76,1,79,19,
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Fernwood,48.42619,-123.33986,Entire home/apt,90,30,12,2022-08-31,0.09,19,279,2,
528492,Victoria Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43019,-123.36862,Entire home/apt,236,2,32,2023-03-09,0.27,1,179,14,
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.43492,-123.34064,Entire home/apt,99,30,120,2022-12-28,1.28,3,209,6,
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42624,-123.34019,Entire home/apt,76,30,22,2022-02-28,0.17,19,336,0,
