id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1241309,★Glass Roof★Walkable★Full Kitch★Office★Deck★Garden,6766640,Amy,Trafford,Trafford District,53.42985,-2.34018,Entire home/apt,100,7,1,2021-11-30,0.06,3,47,0,
157612,New attic space/single & Dble room,757016,Margaret,Salford,Salford District,53.50114,-2.26429,Entire home/apt,41,2,123,2023-03-12,0.91,1,282,20,
1329093,Private B&B Double Room 2,219489200,Susan,Manchester,Sharston,53.37601,-2.25162,Private room,31,1,388,2023-02-15,3.54,1,149,101,
283495,En-suite room in detached house,1476718,Alison,Rochdale,Rochdale District,53.56259,-2.21945,Private room,75,100,10,2018-08-05,0.10,1,365,0,
299194,Cosy Garden Chalet for all seasons,1542010,Minh,Stockport,Stockport District,53.376,-2.04462,Entire home/apt,50,2,312,2022-11-14,2.34,1,2,15,
310742,Nice room 10 minutes walk from town,1603652,Francisca,Manchester,Ancoats and Clayton,53.48251,-2.22802,Private room,34,180,65,2022-05-02,0.48,1,204,1,
411843,"R&R @ Birley View (Up to 5 Beds, Free Parking)",2046430,Tom,Manchester,Hulme,53.46849,-2.24403,Entire home/apt,138,2,230,2023-01-15,1.72,28,263,4,
412687,Ivy Bank.Altrincham's original & cosy Airbnb flat,2053716,Bev,Trafford,Trafford District,53.393,-2.34904,Entire home/apt,73,2,386,2023-03-19,2.98,1,77,50,
1343251,NICE 2 BEDROOM VICTORIA PARK.,4274481,Adel,Manchester,Longsight,53.45718,-2.21378,Entire home/apt,88,1,2,2015-01-03,0.02,8,365,0,
556920,Bedroom/private bath-character central Manchester,2738322,Jane,Manchester,Ancoats and Clayton,53.48138,-2.22366,Private room,50,2,229,2023-03-13,2.85,2,30,44,
1394994,Tranquil leafy apartment near city,7539112,Clare,Manchester,Whalley Range,53.45291,-2.26147,Entire home/apt,85,20,28,2022-04-15,0.24,1,331,1,
568034,"Quiet, comfortable double room in Chorlton",2794391,Helen,Manchester,Chorlton,53.44635,-2.27818,Private room,37,2,390,2023-03-19,3.01,2,112,35,
610613,Dbl Room good access to city centre,3027563,Bob And Christine,Manchester,Didsbury West,53.42759,-2.23266,Private room,39,1,584,2023-03-24,4.51,3,258,71,
651097,DOUBLE ROOM+ENSUITE IN CITY CENTRE W/ FREE PARKING,3270691,Brian,Manchester,City Centre,53.475033,-2.244769,Private room,71,2,332,2023-03-19,2.58,1,308,58,
681857,A perfect Home away from home,3472687,Thembalani,Manchester,Ancoats and Clayton,53.48888,-2.21156,Entire home/apt,100,2,262,2023-03-11,2.18,2,146,23,
711322,Lovely Single room  in Manchester city,3086011,Gertrude,Manchester,Hulme,53.4645,-2.25904,Private room,50,3,28,2019-11-23,0.24,6,361,0,
711323,Lovely spacious queen room in Manchester,3086011,Gertrude,Trafford,Trafford District,53.46352,-2.26062,Private room,55,2,34,2022-12-24,0.29,6,358,1,
