id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00946,4.20026,Entire home/apt,256,5,19,2022-09-14,0.15,4,191,3,ET3036ME
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.94273,3.96278,Entire home/apt,119,4,51,2022-10-27,0.36,1,333,10,ET2253ME
285865,Apartment sea view + swimming pool,1487752,Roberto,,Ciutadella de Menorca,40.00088,3.79955,Entire home/apt,35,2,109,2023-03-13,0.83,1,225,22,
294398,Son Esquella - Charming Menorca,312145,Natalia,,Alaior,39.89089,4.11607,Entire home/apt,600,32,12,2019-09-08,0.13,3,362,0,
295705,The Most Perfect Villa in Menorca!,312145,Natalia,,Alaior,39.89183,4.11577,Entire home/apt,1144,32,24,2022-05-30,0.19,3,358,1,
325641,BEAUTIFUL VILLA IN A VIRGIN BEACH,1492975,Pili,,Mahón,39.8363,4.19367,Entire home/apt,234,6,40,2022-09-04,0.34,1,193,5,GE/005061/2019
334376,Nice traditional house in Menorca,1913268,Familia,,Ciutadella de Menorca,40.00506,3.83711,Entire home/apt,70,3,44,2022-09-28,0.33,4,150,6,
357026,Coqueto apartamento Son Bou Menorca,1740878,Emilio,,Alaior,39.90397,4.07033,Entire home/apt,75,3,49,2022-10-09,0.38,1,225,15,Licencia San Jaume Zona 5 APM-1880
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90178,4.07674,Entire home/apt,102,5,66,2022-10-25,0.64,1,95,9,
366358,"Nature Farmhouse, Private Pool, Sea Access & Cook",1849697,Alessandro,,Ciutadella de Menorca,40.03523,3.96514,Entire home/apt,420,5,38,2022-07-28,0.29,2,258,1,ET 1646 ME
366636,Apartamento en Son Bou Menorca a 300 m. de playa,1851146,Carmen,,Alaior,39.90258,4.07567,Entire home/apt,120,10,25,2022-08-24,0.21,1,321,4,
370676,Traditional Family house for 10 (near Cathedral),1868061,Olga,,Ciutadella de Menorca,40.00286,3.8374,Entire home/apt,650,2,7,2022-08-15,0.12,1,164,2,
