id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
765077767968798116,"Cute, comfy and cozy appartment",137812354,Adrian Tiziano,,Campo di Marte,43.77957,11.29768,Entire home/apt,80,1,0,,,5,179,0,
11691059,"On the hill, close to the center",54485943,Stefano,,Gavinana Galluzzo,43.75,11.2271,Hotel room,110,2,177,2023-02-10,2.08,3,345,41,
15662721,"Panoramic, WiFi/lan 800Mb/sec (FTTH)",101123884,Enrico,,Campo di Marte,43.77255,11.29244,Entire home/apt,100,2,138,2022-10-23,1.85,1,282,18,
6192477,Stanza affreschi - B&B Borgo Ponte,403066,Paola,,Gavinana Galluzzo,43.74172,11.21258,Private room,140,2,0,,,3,310,0,
53393270,EDI HOUSE COVERCIANO,394682925,Simona,,Campo di Marte,43.78062,11.29255,Entire home/apt,70,2,11,2022-12-18,1.15,1,4,11,
345815,Apartment with garden and view,1753956,Tommaso,,Campo di Marte,43.81893,11.28034,Entire home/apt,150,3,1,2016-06-11,0.01,1,0,0,
800020538508969326,Stanza moderna con bagno privato,35222955,Albo,,Gavinana Galluzzo,43.73832343871382,11.231456242854462,Private room,75,1,0,,,1,363,0,
1726532,"Flat Piazza Signoria, 4/6 persons",6630698,Roberto,,Centro Storico,43.77124,11.25352,Entire home/apt,160,3,12,2022-11-08,0.11,2,170,3,
822952,Pitti apartment in the city center,4321088,Sara,,Centro Storico,43.75934,11.25398,Entire home/apt,60,3,150,2017-10-17,1.30,1,0,0,
523361,A small apartment in San Zanobi ...,2510554,Francesco,,Centro Storico,43.7812,11.25543,Entire home/apt,75,3,119,2016-10-27,0.91,1,47,0,
11914719,Rossi Apartment,63572459,Mario,,Centro Storico,43.76744,11.25453,Entire home/apt,80,2,30,2016-09-26,0.36,1,0,0,
30814918,La Kato,202752473,Barbara,,Centro Storico,43.76868,11.26383,Entire home/apt,150,2,0,,,4,0,0,
777571600801993543,Una veranda climatizzata per 3,490734508,Tommaso,,Campo di Marte,43.81261018575269,11.265521964711358,Shared room,25,1,0,,,3,338,0,
1606527,Cosimo Room,665554,Cosimo,,Rifredi,43.799,11.23371,Private room,80,5,0,,,1,358,0,
32395,your room in florence,140170,Fabio,,Centro Storico,43.76268,11.24149,Hotel room,70,1,619,2023-03-01,4.03,5,80,79,06139100488
51359208,Piccola Firenze,158969757,Valentina,,Campo di Marte,43.77437,11.2729,Entire home/apt,20,29,0,,,12,232,0,
843911748572217623,Résidence moderne et chaleureuse,265457692,Françoise,,Centro Storico,43.780790127440724,11.237156682286004,Entire home/apt,86,15,0,,,1,304,0,
706216363652168638,flohome - Santa Maria Novella apt.,247220128,Flohome,,Centro Storico,43.77262,11.24641,Entire home/apt,119,2,3,2023-02-12,0.46,16,288,3,
714529709467432839,Bella stanza: Firenze cinque,468340396,Lele,,Centro Storico,43.77728,11.25178,Private room,110,1,3,2023-02-19,0.49,6,129,3,
20262315,Casa in collina Scandicci,143941099,Angy,,Centro Storico,43.77472,11.25007,Entire home/apt,65,2,100,2022-12-17,1.48,2,312,36,
28199736,Casa Mihaela e Alessandro,212988469,Alessandro E Mihaela,,Centro Storico,43.78037,11.25269,Entire home/apt,75,2,52,2023-01-13,0.95,1,112,20,
733419098633449605,Appartamento nel quadrilatero dello shopping,482053889,Carlos,,Centro Storico,43.77119986009866,11.249143369495869,Entire home/apt,300,3,0,,,10,299,0,
18592345,Quiet and bright double room in Florence,71084145,Caterina,,Campo di Marte,43.78184,11.26875,Private room,45,1,10,2018-07-11,0.14,1,0,0,
599813984410940864,Accommodation in Florence - Via dei Pilastri 32,41985760,Residenze D'Epoca Collection,,Centro Storico,43.77153,11.26441,Entire home/apt,99,2,29,2023-03-17,3.02,27,290,29,
656995481172235435,Camera Doppia # 31 Balcone affacciato sul Cupolone,174318667,Gilvaneide,,Centro Storico,43.7736083,11.2562538,Private room,180,1,0,,,7,109,0,
547472039630398245,Lungarno view,44839382,Paola,,Centro Storico,43.77535,11.25582,Entire home/apt,250,90,3,2022-08-09,0.25,4,146,3,
46050298,"camera con bagno privato, molto silenziosa",373049475,Rossella,,Centro Storico,43.77198,11.2529,Private room,130,1,0,,,3,297,0,
19305065,Stanza privata con terrazzo privato,109243561,Alessia,,Rifredi,43.79154,11.25494,Private room,12,2,0,,,1,0,0,
7499382,Cozy flat near Ponte Vecchio with original Frescos,39267478,Canto Degli Scali,,Centro Storico,43.7697,11.25305,Entire home/apt,248,1,3,2022-06-18,0.04,7,178,1,
19399749,Maggio Terrace - 360° views,65222778,Apartments_Florence,,Centro Storico,43.76533,11.24815,Entire home/apt,119,3,2,2018-08-31,0.03,42,0,0,048017LTN3968
19667142,Cosy and spacious room in central location,21726504,Kamela,,Rifredi,43.79584,11.23238,Private room,30,1,1,2017-12-09,0.02,1,0,0,
965853,Mimosa Apartments,1885212,Patrizia,,Centro Storico,43.76596,11.25163,Entire home/apt,73,2,6,2019-09-30,0.06,9,7,0,
20471685,Scudo,178271164,Bravo,,Centro Storico,43.7666,11.25151,Entire home/apt,914,7,2,2018-01-17,0.03,2,171,0,
5830018,CasaFirenze,30261606,Stefano,,Centro Storico,43.78747,11.23055,Private room,35,1,14,2015-09-20,0.14,1,0,0,
20716867,Mauryflat,147792585,Maurizio,,Rifredi,43.79279,11.22141,Entire home/apt,65,2,0,,,1,0,0,
18052299,Sant'Antonino Terrace,124237036,Egla,,Centro Storico,43.77605,11.25018,Entire home/apt,82,3,28,2018-10-02,0.41,5,0,0,
24484952,Casa in centro sul giardino Boboli,8601751,Elena,,Centro Storico,43.76259,11.24297,Private room,29,2,10,2019-06-15,0.17,2,0,0,
23878838,Casa vacanza Gretel 1,179410388,Greta,,Centro Storico,43.78038,11.25634,Entire home/apt,101,1,63,2020-12-14,1.04,2,0,0,
41229274,Stanza ponte vecchio,287814973,Marco,,Centro Storico,43.76725,11.2528,Private room,50,1,0,,,1,0,0,
35372815,mariade 2,29260522,Domenico,,Rifredi,43.79144,11.22175,Private room,28,2,0,,,1,0,0,
39413821,Nice house close to the airport,255983967,Brunel,,Rifredi,43.79035,11.22089,Shared room,10,1,6,2019-10-31,0.14,1,0,0,
610540630485763179,Appartamento incantevole con parcheggio gratuito,203574948,Simone,,Gavinana Galluzzo,43.74966,11.30323,Entire home/apt,91,1,29,2023-03-02,2.69,1,58,29,048017LTN7131
39968180,COUPLES IN FLORENCE,308142106,Leean,,Centro Storico,43.76371,11.24444,Private room,40,2,1,2019-11-12,0.02,1,0,0,
26025946,wonderful apartment downtown Florence aircond-WiFi,195600619,Giacomo,,Centro Storico,43.77359,11.26398,Entire home/apt,75,2,75,2021-12-05,1.31,2,0,0,
26332383,Nike's House - Appartamento con ampia terrazza,194725940,Marzio,,Isolotto Legnaia,43.77023,11.22138,Entire home/apt,22,2,39,2019-11-03,0.68,1,0,0,
40244740,Accademia Apartment,45259442,Istay,,Centro Storico,43.774815,11.256928,Entire home/apt,239,1,4,2021-08-18,0.18,102,0,0,
