id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36666,Mo's Cozy Casa w/ veranda & access to dock,157752,Monique,Belize,Belize Islands,17.74786,-88.02398,Entire home/apt,161,3,316,2023-03-27,2.10,5,173,30,
36690,Mo's Cozy Cabana,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,91,3,387,2023-03-26,2.52,5,178,32,
110483,Michelo's fuchsia suite,567809,Michel,Stann Creek,Stann Creek Mainland,16.52114,-88.36926,Hotel room,89,1,59,2023-03-22,0.49,3,111,29,
120115,Seaside Villas Second Floor Unit  #4,604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,453,1,49,2023-02-26,0.68,29,227,13,
120116,Valarosa,604999,Bobbi,Belize,Belize Islands,17.73644,-88.02858,Entire home/apt,139,2,64,2023-02-01,0.74,29,323,9,
152512,"Stunning one br apt-kitchen, air con, bikes & pool",733857,Jacqueline,Stann Creek,Stann Creek Mainland,16.52644,-88.37,Entire home/apt,209,7,69,2023-03-04,0.50,5,200,2,
152922,rent a private room in a house,735525,Jennifer,Cayo,Cayo,17.25395,-88.7687,Private room,52,1,11,2019-12-14,0.13,1,365,0,
171294,King Deluxe,817242,Michael,Cayo,Cayo,17.16261,-89.06995,Private room,329,1,42,2022-08-20,0.38,11,305,2,
171301,Cabana in a Rainforest Setting,817242,Michael,Cayo,Cayo,17.16368,-89.07051,Entire home/apt,270,1,103,2023-01-26,0.93,11,162,8,
179190,Colinda Cabanas - Caribbean Beach Cabana #7,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,241,1,111,2022-02-22,0.79,14,223,0,
182596,Colinda Cabanas - Caribbean Beach Cabana #6,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,241,1,148,2023-03-20,1.08,14,298,3,
182610,Colinda Cabanas - Ocean View Caribbean Cabana #5,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,373,1,136,2023-03-07,1.01,14,303,3,
183285,Colinda Cabanas - Caribbean Beach Cabana #8,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,241,1,47,2020-02-29,0.34,14,149,0,
183332,Colinda Cabanas - Beachfront Suite #1,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,508,1,9,2022-02-01,0.06,14,239,0,
238685,Colinda Cabanas  - Beachfront Suite #2,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,508,1,10,2022-08-02,0.08,14,257,1,
245523,Colinda Cabanas - Beachfront Suite #3,857431,Colinda,Belize,Belize Islands,17.73696,-88.02607,Private room,452,1,19,2023-02-10,0.14,14,293,3,
