id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
71609,Ensuite Room (Room 1 & 2) near EXPO,367042,Belinda,East Region,Tampines,1.34537,103.95887,Private room,137,92,20,2020-01-17,0.15,6,301,0,
71896,B&B  Room 1 near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34754,103.95958,Private room,80,92,24,2019-10-13,0.17,6,365,0,
71903,Room 2-near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34531,103.961,Private room,80,92,47,2020-01-09,0.32,6,362,0,
275343,Amazing Room with window 10min to Redhill,1439258,Kay,Central Region,Bukit Merah,1.29015,103.80814,Private room,55,60,22,2022-08-13,0.18,52,210,2,S0399
275344,15 mins to Outram MRT Single Room,1439258,Kay,Central Region,Bukit Merah,1.28836,103.81144,Private room,55,60,15,2023-03-23,0.11,52,276,2,S0399
289234,Booking for 3 bedrooms,367042,Belinda,East Region,Tampines,1.3449,103.95979,Private room,173,92,12,2019-01-01,0.09,6,301,0,
294281,5 mins walk from Newton subway,1521514,Elizabeth,Central Region,Newton,1.31142,103.83924,Private room,85,92,133,2020-01-21,0.98,7,365,0,
324945,Cozy Blue Room with large window!,1439258,Kay,Central Region,Bukit Merah,1.28828,103.8102,Private room,55,60,17,2022-07-25,0.13,52,364,2,S0399
330089,Cozy Blue Single Room,1439258,Kay,Central Region,Bukit Merah,1.28652,103.81225,Private room,55,60,12,2022-04-05,0.11,52,277,1,S0399
330095,10 mins to Redhill MRT @ Mini Orange Room(5),1439258,Kay,Central Region,Bukit Merah,1.28636,103.81138,Private room,55,60,4,2022-12-10,0.04,52,333,1,S0399
344803,Budget short stay room near  EXPO,367042,Belinda,East Region,Tampines,1.34917,103.9609,Private room,40,92,59,2022-08-26,0.44,6,243,1,
369141,5mins from Newton Train Station,1521514,Elizabeth,Central Region,Newton,1.31144,103.83784,Private room,79,92,81,2020-01-04,0.70,7,365,0,
369145,5 mins walk from Newton MRT,1521514,Elizabeth,Central Region,Newton,1.31129,103.83788,Private room,66,92,165,2020-01-10,1.24,7,365,0,
395191,Heritage Apartment Room near Orchard,1975201,Adi,Central Region,River Valley,1.29335,103.83768,Private room,100,93,27,2017-08-07,0.23,1,83,0,
468782,★★★LOVELY ENSUITE ROOM 30 MINS TO ORCHARD ROAD★★★,2327208,Jerome,North-East Region,Serangoon,1.36288,103.86575,Private room,46,92,82,2018-06-30,0.62,1,271,0,
481789,Master Bedroom in Newly Built Flat,2386154,Susan,East Region,Tampines,1.34816,103.93238,Private room,37,180,0,,,1,0,0,
606784,"Ensuite room, pool, near airport, expo and sutd.",813925,Happy,East Region,Tampines,1.34361,103.95717,Private room,83,92,80,2020-02-07,0.76,1,90,0,
642660,BEST CITY LIVING WITH GA RESIDENCE,3212572,Roger,Central Region,Rochor,1.30096,103.85206,Private room,159,180,0,,,1,365,0,
654191,Partial-Ensuite bedroom+Living room @ farrerpark,2413412,Kaurus,Central Region,Kallang,1.31221,103.85832,Private room,68,92,3,2016-08-30,0.02,88,332,0,
696136,Quiet ensuite room in Holland Village,1289033,Grace,Central Region,Bukit Timah,1.30938,103.79812,Private room,100,92,28,2017-08-12,0.22,1,91,0,
733863,Homestay at Serangoon,3824517,Shirlnet,North-East Region,Serangoon,1.36926,103.87312,Private room,26,180,0,,,1,365,0,
747813,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27663,103.84498,Private room,119,92,72,2019-02-27,0.57,3,357,0,
747816,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27585,103.84597,Private room,119,92,26,2018-09-14,0.21,3,214,0,
