id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
492901,a short walk from piazza san marco,6304868,Roberta,Isole,Castello,45.4348,12.34661,Entire home/apt,450,7,18,2021-09-14,0.14,6,365,0,
493041,APARTMENT FOR 2 PERSONS DECO,2426720,Lorenzo,Isole,San Marco,45.43388,12.33485,Entire home/apt,132,3,22,2022-10-17,0.17,5,225,2,
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,68,1,434,2023-01-02,3.06,6,105,14,
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,260,5,179,2022-12-31,1.10,3,259,16,
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,330,4,80,2022-10-13,0.57,3,302,15,
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43896,12.3297,Entire home/apt,213,4,201,2022-10-22,1.28,3,175,15,
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,50,2,609,2020-02-23,4.28,1,0,0,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,209,1,415,2022-11-11,2.71,2,7,4,
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,320,3,105,2023-03-01,0.73,1,252,20,M0270422294
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,85,2,334,2023-02-10,2.20,4,268,41,
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,191,2,145,2020-01-18,1.05,2,58,0,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,122,3,106,2022-12-18,0.84,2,143,19,
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43502,12.33372,Entire home/apt,150,3,165,2023-01-02,1.14,1,110,6,
60020,Bed and Breakfast Venice.it,288785,Nicola,Isole,Cannaregio,45.44229,12.3304,Hotel room,33,2,68,2022-06-17,0.46,2,6,11,
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43101,12.35369,Entire home/apt,450,3,135,2023-02-13,1.06,2,278,16,M0270429577
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.4362,12.34389,Hotel room,158,2,31,2022-10-17,0.22,3,235,6,
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,85,1,281,2023-01-08,2.02,1,156,25,
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,138,3,317,2023-01-29,2.28,4,142,30,
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,138,3,223,2023-01-30,1.65,4,149,15,
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,144,3,344,2023-02-04,2.43,2,213,32,M02704212329
163685,Ca'Falcao - Air-conditioning & Wifi,781124,Nicolò,Isole,Cannaregio,45.44375,12.32555,Entire home/apt,95,3,376,2023-02-21,2.95,2,217,52,
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43548,12.34241,Hotel room,84,2,182,2023-01-16,1.29,3,243,30,
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43821,12.3328,Hotel room,67,2,367,2023-02-17,3.37,4,265,46,
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43528,12.33741,Entire home/apt,100,2,186,2023-01-16,1.32,1,147,5,
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,152,1,159,2022-09-17,1.12,2,64,7,
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,84,2,372,2023-02-19,2.54,2,187,64,
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2020-01-03,0.19,1,1,0,
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,85,3,129,2023-02-23,0.90,3,199,12,
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44216,12.32644,Private room,100,1,78,2023-03-06,0.60,2,187,24,
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,72,3,361,2023-02-25,2.51,5,56,42,H0270420187
72821,Yacht Sarah Venezia  (with Option to Sail Away!),376806,Orlando,Isole,Sacca Fisola,45.42811,12.31702,Private room,120,1,51,2022-10-13,0.35,1,58,8,
74042,Venice Luca's House,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,119,3,520,2022-10-21,3.64,3,80,1,
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43331,12.35038,Entire home/apt,73,3,295,2023-01-28,2.05,2,243,29,M0270428488
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,153,3,160,2022-12-30,1.15,5,287,22,M0270422885
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,San Polo,45.439,12.3319,Entire home/apt,363,4,13,2022-04-20,0.13,4,282,1,
