id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
256695,Trastevere color-suite,1350540,Marina,,I Centro Storico,41.88862,12.47607,Entire home/apt,124,3,212,2022-12-05,1.54,1,181,23,
2737,"Elif's room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87136,12.48215,Private room,45,7,7,2015-05-28,0.07,6,322,0,
137044,In Campo de 'Fiori! For families and friends in the historic center.,670337,Massimiliano,,I Centro Storico,41.8962,12.47071,Entire home/apt,216,3,117,2023-02-12,1.02,1,184,23,
137157,Super balcony in center on Romans roofs,486866,Raffaella,,I Centro Storico,41.894,12.47896,Entire home/apt,175,3,6,2016-06-20,0.04,5,271,0,
258330,"Sunny with view, WiFi, A/C. Metro, Airport train.",1358462,Francesco,,VII San Giovanni/Cinecittà,41.88008,12.52006,Entire home/apt,80,3,72,2023-03-02,0.55,1,154,8,
137713,60sqm apt Campo de' Fiori with Wifi,246365,Carla,,I Centro Storico,41.89579,12.47098,Entire home/apt,149,2,129,2022-09-25,0.91,2,120,19,
137724,Studio in Campo de' Fiori with Wifi,246365,Carla,,I Centro Storico,41.89737,12.47008,Entire home/apt,86,3,194,2023-02-13,1.37,2,245,32,
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.895,12.49117,Entire home/apt,94,20,21,2022-04-30,0.14,5,290,1,
259075,"City Center: Large, Chic, Modern apartment",1311777,Francesca,,XIII Aurelia,41.89984,12.45392,Entire home/apt,202,3,172,2023-03-07,1.29,2,173,48,"ATR 003602
Codice identificativo id869"
11834,"Rome ""Charming Boschetto Studio""",44552,Serena,,I Centro Storico,41.8965,12.49211,Entire home/apt,105,2,175,2023-02-26,1.21,1,266,33,
138192,Rome Termini station double room,674843,Daniele,,I Centro Storico,41.89122,12.50543,Private room,110,1,90,2023-01-13,0.69,6,167,9,
139330,abbraccia Morfeo (2b),679555,Mario,,V Prenestino/Centocelle,41.88142,12.54422,Private room,71,2,22,2022-09-22,0.28,2,51,8,Aut. Comune di Roma QA 2016/160 del 04/01/2016 CIU. BBN-000320-8 Reg. Lazio ID 603
262254,Two independent and joined apartments,1374312,Giulio,,I Centro Storico,41.89674,12.4728,Entire home/apt,235,2,317,2023-02-13,2.45,1,189,39,
140801,"Rome Studio Rental, Colosseum",685600,Juan Carlos,,I Centro Storico,41.88739,12.4969,Entire home/apt,78,3,176,2023-01-01,1.26,1,205,13,
12398,Casa Donatello - Home far from Home,11756,Gea,,II Parioli/Nomentano,41.92582,12.46928,Entire home/apt,88,1,45,2023-02-08,0.30,1,238,2,
262313,The Other Moon at Termini station,1376239,Maria Assunta,,I Centro Storico,41.89521,12.50603,Private room,53,1,192,2023-03-06,1.41,1,165,50,
19965,DI FRONTE AI MUSEI VATICANI 2 CAMERE DA LETTO,75450,Sasa,,I Centro Storico,41.9073,12.45349,Entire home/apt,110,3,99,2023-03-13,0.73,9,54,33,
262876,Ancient Trastevere rooms: THE SUITE,1379558,Elisabetta,,I Centro Storico,41.89514,12.46542,Private room,70,2,289,2023-02-24,2.12,2,72,50,
19967,A 5 MIN A PIEDI P.ZZA S. PIETRO 2 CAMERE SPAZIOSO,75450,Sasa,,I Centro Storico,41.908283,12.452617,Entire home/apt,101,3,41,2022-10-15,0.36,9,111,8,
141614,Room with private bathroom - Colosseum 10min away,674843,Daniele,,I Centro Storico,41.89319,12.50611,Private room,141,1,22,2022-08-22,0.20,6,167,4,
263210,Charming Flat near St. Peter Square,1381045,Gianluca,,XIII Aurelia,41.89701,12.45569,Entire home/apt,100,3,374,2023-02-25,2.92,2,186,51,
141634,Bright room (up to 4 people) - Rome Colosseum,674843,Daniele,,I Centro Storico,41.89128,12.50517,Private room,141,1,66,2023-02-05,0.51,6,167,11,
142483,Termini station single room,674843,Daniele,,I Centro Storico,41.8919,12.5047,Private room,104,1,130,2023-01-06,0.91,6,141,5,
20534,DormiRoma - Cedro 1 Apartment - Trastevere,77540,Adriano,,I Centro Storico,41.88992,12.46823,Entire home/apt,140,3,52,2022-11-22,0.34,5,215,6,
20587,DormiRoma - Cedro 4 Apartment - Trastevere,77540,Adriano,,I Centro Storico,41.88992,12.46823,Entire home/apt,210,3,67,2023-02-22,0.44,5,175,6,
263658,Ancient Trastevere rooms: THE LOFT,1379558,Elisabetta,,I Centro Storico,41.89333,12.46665,Private room,86,2,319,2023-02-24,2.34,2,92,49,
20606,"Your own home in St. Peter,  Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,166,3,105,2023-03-13,0.69,3,131,33,
263867,"Central, colorful, romantic",1384510,Stefano & Luana,,II Parioli/Nomentano,41.9371,12.51528,Entire home/apt,390,1,7,2022-08-22,0.06,4,357,3,AFF-001546-5
147381,Charming Studio in Trevi Fountain,712288,Jimmy,,I Centro Storico,41.90064,12.48435,Entire home/apt,85,3,225,2023-03-05,1.60,13,188,30,
147670,Feliz in Roma B&B - Junior Suite,628404,Federico,,I Centro Storico,41.88795,12.50326,Private room,143,2,6,2022-12-25,0.07,3,223,4,
264679,"B&B Vatican, close to the Pope",1388641,Marzia,,XIII Aurelia,41.89835,12.45247,Private room,83,1,217,2023-03-06,1.63,4,319,60,
20699,Vintage Suite w/ Private Bath & AC,78287,Frank & Soledad,,I Centro Storico,41.89294,12.50581,Private room,89,2,502,2023-03-11,3.29,8,228,76,
265074,"Large, Clean, Bright 2BD/2BTH Apartment North Rome",1390634,Christian,,XV Cassia/Flaminia,41.98233,12.40795,Entire home/apt,150,3,0,,,1,365,0,IT 393670
21193,BLUE DOUBLE ROOM WITH TERRACE,80755,Marianna,,I Centro Storico,41.91029,12.44703,Private room,80,2,15,2022-04-11,0.10,4,228,1,
21249,"B&B 830, 10 min. from everything! - ROME",81015,Emanuele,,VII San Giovanni/Cinecittà,41.86287,12.54784,Private room,45,3,107,2019-10-23,0.69,10,136,0,
147933,Feliz in Roma B&B - Chic room,628404,Federico,,I Centro Storico,41.88647,12.50302,Private room,123,2,4,2016-05-23,0.03,3,212,0,
266296,LOVELY ACCOMMODATION CLOSE TO NAVONA SQUARE !!,1396222,Alberto,,I Centro Storico,41.89991,12.47005,Entire home/apt,167,3,155,2023-02-23,1.16,8,153,14,
148158,Charming apartment near Trastevere,1249650,Perla,,XII Monte Verde,41.87202,12.44024,Entire home/apt,90,3,8,2013-12-11,0.06,1,365,0,
153506,Sally's beautiful apt - Trastevere,1035589,Sally,,XII Monte Verde,41.87414,12.46965,Entire home/apt,65,3,40,2022-07-31,0.28,2,47,1,
153542,CORNER HOUSE ROME,677400,Ada,,XIV Monte Mario,41.93982,12.42301,Entire home/apt,65,3,9,2020-10-29,0.13,1,288,0,cvn-000637-4
21811,PRETTY FLAT IN TRASTEVERE,86452706,Diego,,I Centro Storico,41.89084,12.46804,Entire home/apt,120,3,237,2023-02-23,1.53,6,195,33,
269143,Vatican center 8 metro of Spain,635665,Evi,,I Centro Storico,41.91162,12.44975,Entire home/apt,80,3,100,2022-12-12,1.06,1,283,20,
22335,4  Apartments in Navona square (unit 1),50092040,Luigi,,I Centro Storico,41.89939,12.46711,Entire home/apt,85,1,182,2023-02-27,2.12,2,271,29,
271728,Room in a stylish flat University distr1ct,1422027,Simone,,II Parioli/Nomentano,41.90616,12.51875,Private room,30,14,43,2019-01-29,0.32,2,11,0,
22573,Wonderful loft in Rome Pigneto,86882,Francesco,,V Prenestino/Centocelle,41.89078,12.52634,Entire home/apt,70,28,101,2021-01-20,0.65,1,0,0,
22930,DormiRoma - Cedro 3 Apartment - Trastevere,77540,Adriano,,I Centro Storico,41.88992,12.46823,Entire home/apt,140,3,72,2022-10-29,0.47,5,185,8,
23803,Charming flat in Trastevere,86452706,Diego,,I Centro Storico,41.88958,12.4678,Entire home/apt,123,3,275,2023-02-18,1.86,6,211,31,
155179,Renovated 1BR Navona-Vatican,746256,Olivia,,I Centro Storico,41.89875,12.46946,Entire home/apt,93,3,182,2023-02-28,1.32,4,195,36,
271812,Charmant apartment inCampo de Fiori,1388641,Marzia,,I Centro Storico,41.89659,12.47212,Entire home/apt,90,1,249,2023-02-28,1.84,4,223,63,
156217,Your Home in Rome's Trastevere,750850,Marisa,,I Centro Storico,41.88653,12.4689,Private room,50,2,23,2019-10-13,0.19,1,0,0,
272634,Sixtythree bb - double ensuite,1426840,Gaetano,,I Centro Storico,41.89876,12.5047,Hotel room,132,3,8,2022-12-28,0.09,3,351,2,
25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,886,15,34,2019-01-02,0.22,3,66,0,
